event_id,event_name,name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI62E,S6 2023 London,"Craig, Sam (GBR)",male,GBR,30-34,open,0:58:06,0:23:39,0:03:27,0:31:00,0:02:56,0:03:53,0:00:27,0:03:40,0:01:43,0:00:32,0:03:58,0:03:47,0:00:28,0:04:01,0:02:34,0:00:21,0:04:01,0:04:07,0:00:31,0:03:57,0:01:17,0:00:35,0:04:02,0:02:55,0:00:33,0:04:25,0:03:23,0:00:00
JGDMS4JI62E,S6 2023 London,"Fontana, Sean (GBR)",male,GBR,30-34,open,0:59:43,0:25:56,0:03:38,0:30:09,0:03:14,0:04:03,0:00:40,0:03:53,0:02:10,0:00:34,0:03:51,0:04:06,0:00:28,0:03:49,0:03:06,0:00:22,0:03:56,0:04:10,0:00:25,0:03:46,0:01:26,0:00:31,0:03:45,0:03:23,0:00:38,0:03:55,0:03:32,0:00:00
JGDMS4JI62E,S6 2023 London,"Blower, Billy (GBR)",male,GBR,35-39,open,1:00:08,0:25:31,0:03:34,0:31:03,0:02:45,0:03:57,0:00:39,0:03:51,0:02:35,0:00:32,0:03:56,0:03:27,0:00:28,0:03:58,0:02:37,0:00:17,0:04:05,0:04:20,0:00:26,0:03:58,0:01:18,0:00:36,0:04:05,0:03:43,0:00:36,0:04:25,0:03:34,0:00:00
JGDMS4JI62E,S6 2023 London,"Channing-Phillips, Michael (GBR)",male,GBR,30-34,open,1:01:05,0:27:45,0:03:45,0:29:35,0:02:50,0:03:55,0:00:39,0:03:39,0:02:30,0:00:33,0:03:50,0:03:34,0:00:27,0:03:43,0:03:54,0:00:24,0:03:57,0:04:03,0:00:37,0:03:54,0:01:27,0:00:32,0:03:43,0:03:26,0:00:33,0:03:59,0:04:56,0:00:00
JGDMS4JI62E,S6 2023 London,"Lockley, Keith (GBR)",male,GBR,35-39,open,1:01:27,0:24:50,0:03:55,0:32:42,0:02:59,0:03:44,0:00:38,0:03:56,0:02:11,0:00:39,0:04:11,0:03:18,0:00:31,0:04:17,0:02:41,0:00:25,0:04:12,0:04:05,0:00:29,0:04:16,0:01:27,0:00:34,0:04:19,0:03:24,0:00:39,0:04:32,0:04:00,0:00:00
JGDMS4JI62E,S6 2023 London,"Ventura, Hugo (POR)",male,POR,40-44,open,1:01:42,0:26:19,0:03:48,0:31:35,0:02:59,0:04:11,0:00:40,0:03:52,0:02:51,0:00:32,0:03:54,0:03:51,0:00:29,0:04:00,0:01:54,0:00:22,0:04:05,0:04:40,0:00:33,0:04:09,0:01:22,0:00:33,0:04:11,0:03:25,0:00:39,0:04:25,0:04:05,0:00:00
JGDMS4JI62E,S6 2023 London,"Rees, Bodger (GBR)",male,GBR,30-34,open,1:01:51,0:24:32,0:03:44,0:33:35,0:03:00,0:03:37,0:00:39,0:03:57,0:01:43,0:00:33,0:04:27,0:02:44,0:00:31,0:04:17,0:03:07,0:00:26,0:04:29,0:04:12,0:00:27,0:04:23,0:01:28,0:00:33,0:04:26,0:03:56,0:00:35,0:04:36,0:03:45,0:00:00
JGDMS4JI62E,S6 2023 London,"Pascutoi, Stefan (ROU)",male,ROU,25-29,open,1:01:58,0:25:20,0:03:44,0:32:54,0:03:18,0:03:40,0:00:38,0:04:08,0:02:11,0:00:37,0:04:20,0:03:28,0:00:30,0:04:16,0:03:12,0:00:19,0:04:15,0:04:07,0:00:29,0:04:18,0:01:52,0:00:33,0:04:00,0:03:21,0:00:38,0:04:19,0:03:29,0:00:00
JGDMS4JI62E,S6 2023 London,"Little, Tom (GBR)",male,GBR,30-34,open,1:02:26,0:26:40,0:04:12,0:31:34,0:03:05,0:03:44,0:00:40,0:03:48,0:02:09,0:00:36,0:03:57,0:03:36,0:00:35,0:04:05,0:03:51,0:00:31,0:04:06,0:03:59,0:00:30,0:04:04,0:01:29,0:00:38,0:04:05,0:03:49,0:00:42,0:04:24,0:04:03,0:00:00
JGDMS4JI62E,S6 2023 London,"Lynn, Barry (GBR)",male,GBR,35-39,open,1:03:00,0:27:29,0:03:41,0:31:50,0:03:10,0:03:53,0:00:39,0:03:58,0:02:21,0:00:32,0:04:02,0:03:40,0:00:28,0:04:03,0:03:33,0:00:19,0:04:06,0:04:15,0:00:30,0:04:08,0:01:46,0:00:35,0:04:05,0:03:19,0:00:38,0:04:18,0:04:42,0:00:00
