event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI6CD,S6 2024 Bilbao,male,ESP,35-39,open,0:58:41,0:24:30,0:04:06,0:30:05,0:03:14,0:04:03,0:00:35,0:03:29,0:02:31,0:00:39,0:03:40,0:03:20,0:00:14,0:03:52,0:01:54,0:00:32,0:03:57,0:04:14,0:00:39,0:03:44,0:01:38,0:00:45,0:03:47,0:02:54,0:00:42,0:04:22,0:03:56,0:00:00
JGDMS4JI6CD,S6 2024 Bilbao,male,ESP,25-29,open,0:59:58,0:25:40,0:04:22,0:29:56,0:03:10,0:04:18,0:00:35,0:03:33,0:02:15,0:00:40,0:03:39,0:03:44,0:00:16,0:03:44,0:02:35,0:00:32,0:03:52,0:04:21,0:00:40,0:03:46,0:01:31,0:00:56,0:03:52,0:02:54,0:00:43,0:04:20,0:04:02,0:00:00
JGDMS4JI6CD,S6 2024 Bilbao,male,ESP,30-34,open,1:00:18,0:23:59,0:04:11,0:32:08,0:03:22,0:04:04,0:00:35,0:03:41,0:02:02,0:00:42,0:03:57,0:02:45,0:00:15,0:04:01,0:02:44,0:00:30,0:04:07,0:04:28,0:00:40,0:04:05,0:01:22,0:00:48,0:04:13,0:03:11,0:00:41,0:04:42,0:03:23,0:00:00
JGDMS4JI6CD,S6 2024 Bilbao,male,ESP,30-34,open,1:01:13,0:26:05,0:04:15,0:30:53,0:03:23,0:04:13,0:00:37,0:03:41,0:02:21,0:00:40,0:03:53,0:02:56,0:00:16,0:03:55,0:02:50,0:00:30,0:03:56,0:04:27,0:00:39,0:03:54,0:02:00,0:00:48,0:03:48,0:03:26,0:00:45,0:04:23,0:03:52,0:00:00
JGDMS4JI6CD,S6 2024 Bilbao,male,ESP,30-34,open,1:02:06,0:26:32,0:04:07,0:31:27,0:03:24,0:04:16,0:00:34,0:03:49,0:02:36,0:00:41,0:03:56,0:03:39,0:00:14,0:04:01,0:02:52,0:00:31,0:03:56,0:04:21,0:00:39,0:03:59,0:01:43,0:00:44,0:03:56,0:03:13,0:00:44,0:04:26,0:03:52,0:00:00
JGDMS4JI6CD,S6 2024 Bilbao,male,ESP,30-34,open,1:02:38,0:25:13,0:05:20,0:32:05,0:03:28,0:04:11,0:00:39,0:03:49,0:02:15,0:00:54,0:04:05,0:03:23,0:00:22,0:03:59,0:02:35,0:00:45,0:04:06,0:04:16,0:00:57,0:04:03,0:01:23,0:00:56,0:04:05,0:03:37,0:00:47,0:04:30,0:03:33,0:00:00
JGDMS4JI6CD,S6 2024 Bilbao,male,ESP,30-34,open,1:02:58,0:26:59,0:04:15,0:31:44,0:03:26,0:04:12,0:00:36,0:03:39,0:02:26,0:00:46,0:03:58,0:03:45,0:00:14,0:03:54,0:02:43,0:00:31,0:04:05,0:04:22,0:00:40,0:04:05,0:01:52,0:00:45,0:04:02,0:03:20,0:00:43,0:04:35,0:04:19,0:00:00
JGDMS4JI6CD,S6 2024 Bilbao,male,ESP,35-39,open,1:03:00,0:26:23,0:04:23,0:32:14,0:03:19,0:04:12,0:00:35,0:03:43,0:02:43,0:00:44,0:04:01,0:03:27,0:00:16,0:03:57,0:02:18,0:00:33,0:04:15,0:04:35,0:00:43,0:04:02,0:01:51,0:00:49,0:04:07,0:03:29,0:00:43,0:04:50,0:03:48,0:00:00
JGDMS4JI6CD,S6 2024 Bilbao,male,ESP,40-44,open,1:03:05,0:26:46,0:04:18,0:32:01,0:03:20,0:04:17,0:00:35,0:03:42,0:02:30,0:00:43,0:04:00,0:03:46,0:00:15,0:03:59,0:03:12,0:00:33,0:04:05,0:04:26,0:00:40,0:04:02,0:01:24,0:00:45,0:04:04,0:03:19,0:00:47,0:04:49,0:03:52,0:00:00
JGDMS4JI6CD,S6 2024 Bilbao,male,ESP,30-34,open,1:03:08,0:30:00,0:04:57,0:28:11,0:03:07,0:04:27,0:00:36,0:03:23,0:02:35,0:00:56,0:03:32,0:04:02,0:00:21,0:03:29,0:03:05,0:00:44,0:03:33,0:04:34,0:00:39,0:03:34,0:01:37,0:00:57,0:03:28,0:04:20,0:00:44,0:04:05,0:05:20,0:00:00
