event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI731,S6 2024 Copenhagen,male,GBR,35-39,open,0:57:34,0:23:37,0:04:08,0:29:49,0:03:52,0:04:09,0:00:38,0:03:18,0:02:13,0:00:36,0:03:36,0:03:08,0:00:30,0:03:45,0:02:36,0:00:26,0:03:41,0:04:12,0:00:45,0:03:52,0:01:20,0:00:41,0:03:38,0:02:34,0:00:32,0:04:07,0:03:25,0:00:00
JGDMS4JI731,S6 2024 Copenhagen,male,SWE,16-24,open,0:57:55,0:25:55,0:03:58,0:28:02,0:03:52,0:03:55,0:00:37,0:03:12,0:02:33,0:00:32,0:03:22,0:03:20,0:00:26,0:03:23,0:03:04,0:00:29,0:03:32,0:04:15,0:00:39,0:03:29,0:01:19,0:00:42,0:03:27,0:03:48,0:00:33,0:03:45,0:03:41,0:00:00
JGDMS4JI731,S6 2024 Copenhagen,male,GER,25-29,open,0:58:48,0:25:40,0:04:33,0:28:35,0:03:59,0:04:04,0:00:41,0:03:22,0:02:31,0:00:36,0:03:26,0:03:24,0:00:30,0:03:29,0:03:00,0:00:33,0:03:31,0:04:21,0:00:44,0:03:24,0:01:34,0:00:46,0:03:33,0:03:11,0:00:43,0:03:51,0:03:35,0:00:00
JGDMS4JI731,S6 2024 Copenhagen,male,GBR,25-29,open,0:59:34,0:25:03,0:04:14,0:30:17,0:04:08,0:04:06,0:00:38,0:03:30,0:02:16,0:00:34,0:03:34,0:03:25,0:00:32,0:03:50,0:02:41,0:00:28,0:03:53,0:04:19,0:00:44,0:03:43,0:01:34,0:00:42,0:03:43,0:03:15,0:00:36,0:03:56,0:03:27,0:00:00
JGDMS4JI731,S6 2024 Copenhagen,male,CZE,30-34,open,0:59:53,0:25:34,0:04:29,0:29:50,0:03:55,0:03:57,0:00:38,0:03:25,0:02:18,0:00:36,0:03:38,0:03:13,0:00:33,0:03:38,0:02:55,0:00:32,0:03:44,0:04:08,0:00:47,0:03:42,0:01:16,0:00:46,0:03:43,0:03:15,0:00:37,0:04:05,0:04:32,0:00:00
JGDMS4JI731,S6 2024 Copenhagen,male,GBR,35-39,open,1:00:20,0:26:21,0:04:29,0:29:30,0:04:13,0:04:17,0:00:40,0:03:31,0:02:43,0:00:40,0:03:37,0:03:18,0:00:32,0:03:38,0:03:04,0:00:30,0:03:35,0:04:10,0:00:44,0:03:34,0:01:26,0:00:49,0:03:30,0:03:29,0:00:34,0:03:52,0:03:54,0:00:00
JGDMS4JI731,S6 2024 Copenhagen,male,GER,30-34,open,1:00:42,0:26:36,0:04:27,0:29:39,0:03:55,0:04:01,0:00:36,0:03:22,0:01:49,0:00:34,0:03:39,0:03:08,0:00:33,0:03:41,0:03:48,0:00:30,0:03:40,0:04:11,0:00:40,0:03:34,0:01:14,0:00:54,0:03:38,0:04:06,0:00:40,0:04:10,0:04:19,0:00:00
JGDMS4JI731,S6 2024 Copenhagen,male,DEN,35-39,open,1:01:29,0:25:15,0:04:37,0:31:37,0:04:20,0:04:12,0:00:42,0:03:43,0:02:17,0:00:38,0:03:53,0:03:06,0:00:35,0:03:52,0:02:31,0:00:33,0:03:48,0:04:15,0:00:45,0:03:51,0:01:47,0:00:45,0:03:48,0:03:15,0:00:39,0:04:22,0:03:52,0:00:00
JGDMS4JI731,S6 2024 Copenhagen,male,IRL,40-44,open,1:01:45,0:30:46,0:04:01,0:26:58,0:03:39,0:04:15,0:00:35,0:03:06,0:03:09,0:00:32,0:03:18,0:03:51,0:00:25,0:03:20,0:04:27,0:00:25,0:03:25,0:04:46,0:00:41,0:03:20,0:01:51,0:00:46,0:03:14,0:03:22,0:00:37,0:03:36,0:05:05,0:00:00
JGDMS4JI731,S6 2024 Copenhagen,male,GER,30-34,open,1:02:33,0:25:34,0:05:25,0:31:34,0:04:19,0:04:02,0:00:42,0:03:34,0:01:56,0:00:54,0:04:10,0:03:24,0:00:41,0:03:49,0:02:49,0:00:46,0:03:51,0:04:23,0:00:46,0:03:45,0:01:49,0:01:00,0:03:48,0:03:13,0:00:36,0:04:18,0:03:58,0:00:00
JGDMS4JI731,S6 2024 Copenhagen,male,GER,25-29,open,1:02:41,0:27:25,0:04:35,0:30:41,0:04:11,0:04:16,0:00:41,0:03:35,0:03:09,0:00:36,0:03:39,0:03:30,0:00:34,0:03:44,0:03:12,0:00:27,0:03:50,0:04:27,0:00:51,0:03:42,0:01:33,0:00:48,0:03:50,0:03:11,0:00:38,0:04:10,0:04:07,0:00:00
JGDMS4JI731,S6 2024 Copenhagen,male,GBR,16-24,open,1:02:48,0:24:28,0:05:50,0:32:30,0:04:09,0:03:58,0:00:54,0:03:33,0:01:35,0:00:50,0:04:08,0:03:05,0:00:39,0:03:55,0:03:21,0:00:51,0:04:08,0:04:19,0:00:49,0:04:01,0:01:27,0:01:01,0:03:55,0:03:14,0:00:46,0:04:41,0:03:29,0:00:00
JGDMS4JI731,S6 2024 Copenhagen,male,GER,30-34,open,1:03:21,0:27:21,0:05:09,0:30:51,0:04:10,0:04:18,0:00:42,0:03:31,0:02:32,0:00:43,0:03:44,0:03:19,0:00:38,0:03:46,0:02:55,0:00:48,0:03:47,0:04:31,0:00:49,0:03:50,0:01:37,0:00:50,0:03:48,0:03:57,0:00:39,0:04:15,0:04:12,0:00:00
JGDMS4JI731,S6 2024 Copenhagen,male,IRL,40-44,open,1:03:30,0:26:52,0:04:26,0:32:12,0:04:19,0:04:17,0:00:42,0:03:39,0:02:47,0:00:36,0:03:48,0:03:05,0:00:33,0:03:53,0:03:12,0:00:30,0:04:03,0:04:31,0:00:45,0:04:00,0:01:30,0:00:42,0:03:58,0:03:10,0:00:38,0:04:32,0:04:20,0:00:00
