event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI709,S6 2024 Fort Lauderdale,male,USA,30-34,open,1:03:44,0:28:27,0:03:35,0:31:42,0:02:53,0:04:17,0:00:11,0:03:47,0:01:59,0:00:12,0:04:07,0:03:04,0:00:33,0:03:58,0:03:12,0:00:38,0:04:04,0:04:31,0:00:36,0:04:04,0:02:06,0:00:23,0:04:12,0:04:12,0:01:02,0:04:37,0:05:06,0:00:00
JGDMS4JI709,S6 2024 Fort Lauderdale,male,MEX,35-39,open,1:04:32,0:27:22,0:03:42,0:33:28,0:03:08,0:03:57,0:00:11,0:04:11,0:01:59,0:00:12,0:04:13,0:03:18,0:00:31,0:04:15,0:03:40,0:00:43,0:04:19,0:04:31,0:00:40,0:04:20,0:01:35,0:00:28,0:04:18,0:03:55,0:00:57,0:04:44,0:04:27,0:00:00
JGDMS4JI709,S6 2024 Fort Lauderdale,male,USA,30-34,open,1:06:57,0:25:25,0:04:05,0:37:27,0:03:06,0:03:57,0:00:11,0:04:20,0:01:24,0:00:11,0:04:54,0:03:18,0:00:38,0:04:58,0:02:29,0:00:51,0:05:13,0:04:24,0:00:38,0:04:45,0:01:51,0:00:26,0:04:39,0:02:58,0:01:10,0:05:32,0:05:04,0:00:00
JGDMS4JI709,S6 2024 Fort Lauderdale,male,USA,25-29,open,1:08:07,0:26:43,0:03:58,0:37:26,0:03:21,0:04:03,0:00:14,0:04:33,0:01:32,0:00:13,0:05:00,0:04:07,0:00:36,0:04:46,0:02:43,0:00:51,0:05:01,0:04:15,0:00:42,0:04:47,0:01:52,0:00:21,0:04:51,0:03:15,0:01:01,0:05:07,0:04:56,0:00:00
JGDMS4JI709,S6 2024 Fort Lauderdale,male,USA,35-39,open,1:08:26,0:27:49,0:04:20,0:36:17,0:03:30,0:04:25,0:00:13,0:04:32,0:02:01,0:00:11,0:05:05,0:03:12,0:00:34,0:04:50,0:03:04,0:00:51,0:04:36,0:04:53,0:00:38,0:04:22,0:02:05,0:00:34,0:04:23,0:03:37,0:01:19,0:04:59,0:04:32,0:00:00
JGDMS4JI709,S6 2024 Fort Lauderdale,male,FRA,35-39,open,1:08:57,0:29:38,0:04:06,0:35:13,0:02:56,0:04:18,0:00:11,0:04:14,0:02:53,0:00:13,0:04:44,0:04:16,0:00:37,0:04:43,0:02:39,0:00:51,0:04:34,0:04:44,0:00:38,0:04:27,0:01:52,0:00:28,0:04:35,0:03:42,0:01:08,0:05:00,0:05:14,0:00:00
JGDMS4JI709,S6 2024 Fort Lauderdale,male,USA,40-44,open,1:09:55,0:30:44,0:04:14,0:34:57,0:03:10,0:04:26,0:00:12,0:04:13,0:02:11,0:00:15,0:04:24,0:03:38,0:00:33,0:04:25,0:03:55,0:00:57,0:04:27,0:04:34,0:00:37,0:04:29,0:02:07,0:00:33,0:04:31,0:04:19,0:01:07,0:05:18,0:05:34,0:00:00
JGDMS4JI709,S6 2024 Fort Lauderdale,male,USA,35-39,open,1:10:39,0:28:48,0:04:24,0:37:27,0:02:59,0:04:04,0:00:13,0:04:26,0:02:34,0:00:14,0:04:53,0:03:27,0:00:39,0:04:49,0:03:32,0:00:49,0:05:00,0:04:33,0:00:49,0:04:51,0:01:46,0:00:29,0:04:58,0:04:02,0:01:11,0:05:31,0:04:50,0:00:00
JGDMS4JI709,S6 2024 Fort Lauderdale,male,USA,30-34,open,1:10:43,0:26:39,0:04:53,0:39:11,0:03:12,0:04:04,0:00:14,0:04:40,0:02:34,0:00:13,0:05:09,0:03:28,0:00:47,0:05:06,0:02:54,0:00:56,0:05:06,0:04:41,0:00:51,0:05:11,0:01:46,0:00:36,0:05:13,0:03:08,0:01:16,0:05:34,0:04:04,0:00:00
JGDMS4JI709,S6 2024 Fort Lauderdale,male,USA,30-34,open,1:11:20,0:29:56,0:04:20,0:37:04,0:03:27,0:03:59,0:00:12,0:04:38,0:02:23,0:00:11,0:04:43,0:03:36,0:00:33,0:04:36,0:04:17,0:01:05,0:04:42,0:04:20,0:00:42,0:04:48,0:01:58,0:00:30,0:04:52,0:04:28,0:01:07,0:05:18,0:04:55,0:00:00
