event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI748,S6 2024 Houston,male,VIE,30-34,open,1:01:16,0:24:00,0:03:18,0:33:58,0:03:23,0:04:02,0:00:27,0:03:54,0:02:05,0:00:23,0:04:04,0:02:42,0:00:19,0:04:35,0:02:24,0:00:53,0:04:25,0:04:08,0:00:24,0:04:18,0:01:58,0:00:08,0:04:30,0:02:55,0:00:44,0:04:49,0:03:46,0:00:00
JGDMS4JI748,S6 2024 Houston,male,USA,30-34,open,1:03:49,0:26:24,0:03:39,0:33:46,0:03:09,0:04:11,0:00:29,0:04:04,0:02:26,0:00:33,0:04:25,0:03:13,0:00:21,0:04:25,0:03:01,0:00:58,0:04:24,0:04:22,0:00:23,0:04:25,0:01:52,0:00:10,0:04:14,0:03:04,0:00:45,0:04:40,0:04:15,0:00:00
JGDMS4JI748,S6 2024 Houston,male,USA,25-29,open,1:04:19,0:27:42,0:03:31,0:33:06,0:03:21,0:04:07,0:00:26,0:03:54,0:02:39,0:00:24,0:04:08,0:03:52,0:00:20,0:04:08,0:03:22,0:00:57,0:04:19,0:04:25,0:00:21,0:04:13,0:01:38,0:00:12,0:04:18,0:03:25,0:00:51,0:04:45,0:04:14,0:00:00
JGDMS4JI748,S6 2024 Houston,male,USA,25-29,open,1:04:37,0:26:19,0:03:45,0:34:33,0:03:29,0:03:53,0:00:26,0:04:08,0:01:44,0:00:23,0:04:23,0:03:21,0:00:20,0:04:23,0:04:11,0:00:52,0:04:29,0:04:17,0:00:23,0:04:26,0:01:39,0:00:30,0:04:27,0:03:21,0:00:51,0:04:48,0:03:53,0:00:00
JGDMS4JI748,S6 2024 Houston,male,USA,30-34,open,1:04:42,0:26:22,0:04:03,0:34:17,0:03:31,0:04:14,0:00:25,0:04:05,0:02:58,0:00:29,0:04:17,0:03:26,0:00:18,0:04:16,0:02:22,0:00:56,0:04:25,0:04:32,0:00:33,0:04:12,0:01:40,0:00:16,0:04:24,0:03:31,0:01:06,0:05:07,0:03:39,0:00:00
JGDMS4JI748,S6 2024 Houston,male,MAR,25-29,open,1:05:20,0:29:34,0:04:02,0:31:44,0:03:04,0:04:10,0:00:29,0:03:52,0:02:28,0:00:31,0:04:16,0:05:35,0:00:17,0:04:06,0:02:58,0:01:02,0:04:04,0:04:24,0:00:22,0:03:58,0:01:39,0:00:08,0:04:06,0:04:12,0:01:13,0:04:18,0:04:08,0:00:00
JGDMS4JI748,S6 2024 Houston,male,USA,30-34,open,1:06:42,0:27:49,0:03:37,0:35:16,0:03:13,0:04:06,0:00:27,0:04:00,0:02:40,0:00:27,0:04:27,0:03:23,0:00:22,0:04:31,0:02:44,0:00:49,0:04:34,0:04:36,0:00:27,0:04:39,0:01:38,0:00:09,0:04:41,0:03:49,0:00:56,0:05:11,0:04:53,0:00:00
JGDMS4JI748,S6 2024 Houston,male,USA,35-39,open,1:06:47,0:29:33,0:03:09,0:34:05,0:03:24,0:04:25,0:00:31,0:04:13,0:02:48,0:00:24,0:04:16,0:04:05,0:00:17,0:04:16,0:03:08,0:00:44,0:04:23,0:04:34,0:00:23,0:04:18,0:01:45,0:00:09,0:04:21,0:03:58,0:00:41,0:04:54,0:04:50,0:00:00
JGDMS4JI748,S6 2024 Houston,male,MEX,35-39,open,1:07:24,0:30:12,0:04:06,0:33:06,0:03:11,0:04:18,0:00:29,0:03:55,0:02:48,0:00:35,0:04:20,0:04:43,0:00:20,0:04:16,0:03:19,0:00:53,0:04:18,0:04:40,0:00:46,0:04:14,0:02:15,0:00:11,0:04:14,0:04:17,0:00:52,0:04:38,0:03:52,0:00:00
JGDMS4JI748,S6 2024 Houston,male,CAN,25-29,open,1:07:47,0:31:23,0:03:16,0:33:08,0:03:08,0:04:07,0:00:29,0:03:55,0:02:04,0:00:26,0:04:11,0:03:56,0:00:22,0:04:12,0:04:30,0:00:46,0:04:20,0:04:42,0:00:23,0:04:22,0:02:03,0:00:09,0:04:18,0:04:00,0:00:41,0:04:42,0:06:01,0:00:00
