event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI6F5,S6 2024 Incheon,male,FRA,25-29,open,1:03:40,0:25:23,0:04:25,0:33:52,0:03:01,0:04:02,0:00:36,0:04:07,0:01:53,0:00:37,0:04:29,0:02:31,0:00:37,0:04:17,0:02:57,0:00:31,0:04:19,0:04:30,0:00:38,0:04:27,0:01:41,0:00:44,0:04:17,0:04:01,0:00:42,0:04:55,0:03:48,0:00:00
JGDMS4JI6F5,S6 2024 Incheon,male,KOR,25-29,open,1:07:21,0:27:04,0:05:24,0:34:53,0:03:09,0:04:04,0:00:33,0:03:58,0:02:01,0:00:39,0:04:19,0:03:19,0:00:49,0:04:29,0:02:36,0:00:35,0:04:37,0:04:32,0:00:42,0:04:35,0:01:34,0:00:54,0:04:28,0:04:31,0:01:12,0:05:18,0:04:27,0:00:00
JGDMS4JI6F5,S6 2024 Incheon,male,KOR,30-34,open,1:07:50,0:30:33,0:03:52,0:33:25,0:03:04,0:04:11,0:00:14,0:05:11,0:02:14,0:00:29,0:04:03,0:05:04,0:00:41,0:04:00,0:03:27,0:00:27,0:04:09,0:04:27,0:00:35,0:04:07,0:01:46,0:00:40,0:04:08,0:03:43,0:00:46,0:04:43,0:05:41,0:00:00
JGDMS4JI6F5,S6 2024 Incheon,male,KOR,30-34,open,1:09:36,0:28:01,0:04:26,0:37:09,0:03:19,0:04:17,0:00:35,0:04:28,0:01:52,0:00:33,0:04:49,0:03:55,0:00:40,0:04:49,0:03:19,0:00:26,0:04:59,0:04:27,0:00:39,0:04:53,0:02:06,0:00:44,0:04:47,0:04:02,0:00:49,0:05:05,0:04:03,0:00:00
JGDMS4JI6F5,S6 2024 Incheon,male,GBR,25-29,open,1:10:36,0:29:47,0:04:30,0:36:19,0:03:12,0:04:13,0:00:37,0:04:24,0:02:43,0:00:35,0:04:34,0:03:23,0:00:45,0:04:43,0:04:26,0:00:34,0:04:48,0:04:27,0:00:38,0:04:40,0:01:46,0:00:41,0:04:32,0:03:58,0:00:40,0:05:26,0:04:51,0:00:00
JGDMS4JI6F5,S6 2024 Incheon,male,FRA,30-34,open,1:11:18,0:28:27,0:07:20,0:35:31,0:03:25,0:04:22,0:00:53,0:04:24,0:01:55,0:00:57,0:04:41,0:03:55,0:00:57,0:04:27,0:03:45,0:01:02,0:04:38,0:04:50,0:01:21,0:04:34,0:01:33,0:01:20,0:04:29,0:03:32,0:00:50,0:04:53,0:04:35,0:00:00
JGDMS4JI6F5,S6 2024 Incheon,male,GBR,40-44,open,1:12:04,0:31:39,0:04:45,0:35:40,0:03:15,0:04:15,0:00:35,0:04:18,0:03:00,0:00:35,0:04:43,0:03:19,0:00:43,0:04:44,0:04:26,0:00:30,0:04:48,0:04:33,0:00:46,0:04:36,0:01:56,0:00:44,0:04:27,0:03:52,0:00:52,0:04:49,0:06:18,0:00:00
JGDMS4JI6F5,S6 2024 Incheon,male,FIN,35-39,open,1:13:58,0:31:13,0:04:50,0:37:55,0:03:38,0:04:14,0:00:38,0:04:33,0:02:36,0:00:35,0:04:43,0:03:29,0:00:44,0:04:43,0:03:18,0:00:38,0:04:57,0:04:36,0:00:41,0:04:50,0:01:58,0:00:46,0:04:59,0:04:53,0:00:48,0:05:32,0:06:09,0:00:00
JGDMS4JI6F5,S6 2024 Incheon,male,KOR,30-34,open,1:14:47,0:31:42,0:05:22,0:37:43,0:03:27,0:04:31,0:00:41,0:04:22,0:02:07,0:00:42,0:04:45,0:04:43,0:00:31,0:04:43,0:04:10,0:00:49,0:05:05,0:04:44,0:00:45,0:04:45,0:01:50,0:00:53,0:04:54,0:04:09,0:01:01,0:05:42,0:05:28,0:00:00
JGDMS4JI6F5,S6 2024 Incheon,male,KOR,16-24,open,1:15:04,0:28:28,0:05:27,0:41:09,0:03:43,0:04:30,0:00:19,0:05:08,0:02:22,0:00:43,0:05:02,0:02:45,0:00:52,0:05:12,0:03:05,0:00:48,0:05:28,0:04:28,0:00:50,0:05:17,0:01:45,0:00:49,0:05:30,0:03:41,0:01:06,0:05:49,0:05:52,0:00:00
