event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI70A,S6 2024 Katowice,male,AUT,25-29,open,0:57:21,0:24:54,0:03:34,0:28:53,0:02:39,0:03:43,0:00:32,0:03:35,0:02:26,0:00:30,0:03:43,0:03:11,0:00:26,0:03:41,0:02:45,0:00:40,0:03:46,0:04:02,0:00:21,0:03:49,0:01:22,0:00:38,0:03:43,0:02:47,0:00:27,0:03:57,0:04:38,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,SLO,30-34,open,1:01:37,0:24:31,0:04:34,0:32:32,0:03:09,0:03:54,0:00:23,0:04:00,0:01:43,0:00:38,0:04:10,0:03:27,0:00:31,0:04:08,0:02:41,0:01:02,0:04:08,0:04:08,0:00:26,0:04:10,0:01:46,0:00:54,0:04:21,0:03:04,0:00:40,0:04:26,0:03:48,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,POL,35-39,open,1:03:31,0:27:22,0:04:33,0:31:36,0:03:09,0:03:54,0:00:27,0:03:52,0:02:02,0:00:46,0:04:00,0:03:51,0:00:31,0:04:04,0:03:48,0:01:14,0:04:04,0:04:08,0:00:24,0:04:02,0:01:48,0:00:39,0:04:01,0:02:51,0:00:32,0:04:24,0:05:00,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,SLO,16-24,open,1:05:15,0:26:41,0:03:58,0:34:36,0:03:18,0:03:39,0:00:24,0:03:57,0:01:36,0:00:31,0:04:19,0:03:16,0:00:30,0:04:29,0:03:20,0:00:55,0:04:38,0:04:07,0:00:22,0:04:31,0:01:42,0:00:45,0:04:28,0:04:03,0:00:31,0:04:56,0:04:58,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,GER,40-44,open,1:05:53,0:28:12,0:03:52,0:33:49,0:03:18,0:04:05,0:00:27,0:04:13,0:02:43,0:00:34,0:04:16,0:03:58,0:00:32,0:04:20,0:03:04,0:00:49,0:04:21,0:04:20,0:00:24,0:04:21,0:01:37,0:00:40,0:04:21,0:03:24,0:00:26,0:04:39,0:05:01,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,POL,35-39,open,1:06:43,0:27:24,0:04:30,0:34:49,0:03:29,0:04:01,0:00:41,0:04:17,0:02:18,0:00:36,0:04:28,0:04:28,0:00:28,0:04:29,0:03:35,0:00:54,0:04:38,0:04:18,0:00:23,0:04:25,0:01:42,0:00:55,0:04:21,0:03:25,0:00:33,0:04:42,0:03:37,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,ITA,30-34,open,1:07:51,0:25:57,0:04:57,0:36:57,0:04:29,0:04:04,0:00:27,0:04:19,0:01:38,0:00:44,0:04:38,0:03:36,0:00:34,0:04:43,0:03:20,0:00:57,0:04:48,0:04:20,0:00:25,0:04:39,0:01:02,0:01:20,0:04:29,0:04:04,0:00:30,0:04:52,0:03:53,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,POL,16-24,open,1:07:57,0:27:40,0:05:00,0:35:17,0:03:12,0:04:10,0:00:33,0:04:18,0:01:43,0:00:38,0:04:31,0:03:45,0:00:30,0:04:29,0:03:35,0:01:08,0:04:45,0:04:16,0:00:38,0:04:29,0:01:44,0:00:48,0:04:31,0:03:19,0:00:45,0:05:02,0:05:08,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,POL,30-34,open,1:08:31,0:26:26,0:04:48,0:37:17,0:03:16,0:04:02,0:00:31,0:04:16,0:01:47,0:00:35,0:04:54,0:03:57,0:00:40,0:05:05,0:03:44,0:01:06,0:05:08,0:04:15,0:00:26,0:04:47,0:01:38,0:00:51,0:04:50,0:03:31,0:00:39,0:05:01,0:03:32,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,POL,35-39,open,1:08:41,0:25:23,0:04:20,0:38:58,0:03:44,0:04:04,0:00:27,0:04:50,0:02:07,0:00:37,0:05:03,0:03:04,0:00:34,0:05:03,0:03:27,0:00:51,0:05:13,0:04:09,0:00:25,0:04:56,0:01:39,0:00:52,0:04:50,0:03:24,0:00:34,0:05:19,0:03:29,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,POL,30-34,open,1:09:03,0:30:14,0:04:30,0:34:19,0:03:03,0:04:24,0:00:27,0:04:12,0:02:26,0:00:39,0:04:33,0:05:11,0:00:38,0:04:34,0:03:36,0:00:56,0:04:29,0:04:59,0:00:28,0:04:24,0:01:40,0:00:46,0:04:28,0:03:27,0:00:36,0:04:36,0:04:31,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,AUT,25-29,open,1:09:37,0:28:55,0:05:08,0:35:34,0:03:18,0:04:12,0:00:27,0:04:13,0:01:57,0:00:42,0:04:34,0:05:02,0:00:41,0:04:42,0:03:01,0:01:01,0:04:36,0:04:32,0:00:28,0:04:36,0:01:59,0:01:06,0:04:32,0:03:25,0:00:43,0:05:03,0:04:47,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,POL,35-39,open,1:10:02,0:29:25,0:04:33,0:36:04,0:03:15,0:03:55,0:00:27,0:04:24,0:02:14,0:00:40,0:04:40,0:03:39,0:00:29,0:04:38,0:04:17,0:00:52,0:04:45,0:04:17,0:00:28,0:04:43,0:01:51,0:00:54,0:04:38,0:04:05,0:00:43,0:05:01,0:05:07,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,GBR,45-49,open,1:10:50,0:30:26,0:04:00,0:36:24,0:03:31,0:04:14,0:00:25,0:04:31,0:02:41,0:00:33,0:04:33,0:03:59,0:00:28,0:04:36,0:03:21,0:00:53,0:04:53,0:04:27,0:00:27,0:04:36,0:02:00,0:00:43,0:04:35,0:04:30,0:00:31,0:05:09,0:05:14,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,POL,40-44,open,1:10:59,0:30:03,0:04:27,0:36:29,0:03:09,0:03:49,0:00:36,0:04:20,0:02:32,0:00:38,0:04:52,0:04:59,0:00:44,0:04:49,0:03:20,0:00:51,0:05:00,0:04:39,0:00:23,0:04:41,0:01:30,0:00:47,0:04:40,0:04:37,0:00:28,0:04:58,0:04:37,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,GER,45-49,open,1:11:06,0:29:27,0:04:30,0:37:09,0:03:11,0:04:07,0:00:30,0:04:27,0:02:24,0:00:40,0:05:00,0:03:33,0:00:33,0:04:48,0:05:05,0:00:56,0:04:51,0:04:11,0:00:27,0:04:51,0:01:19,0:00:45,0:04:50,0:04:07,0:00:39,0:05:11,0:04:41,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,GBR,30-34,open,1:11:16,0:29:53,0:05:33,0:35:50,0:03:15,0:03:56,0:00:31,0:04:17,0:02:14,0:00:50,0:04:39,0:03:57,0:00:36,0:04:31,0:04:22,0:01:29,0:04:45,0:04:11,0:00:35,0:04:33,0:01:39,0:00:48,0:04:38,0:04:05,0:00:44,0:05:12,0:05:29,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,POL,30-34,open,1:11:23,0:27:23,0:04:33,0:39:27,0:04:00,0:04:23,0:00:29,0:04:57,0:02:10,0:00:38,0:04:54,0:03:23,0:00:34,0:04:59,0:03:12,0:00:55,0:05:03,0:04:19,0:00:30,0:05:04,0:02:09,0:00:49,0:04:56,0:03:26,0:00:38,0:05:34,0:04:21,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,MLT,16-24,open,1:11:37,0:32:15,0:04:25,0:34:57,0:03:19,0:04:19,0:00:28,0:04:19,0:03:20,0:00:37,0:04:30,0:05:31,0:00:35,0:04:28,0:04:24,0:00:56,0:04:32,0:04:35,0:00:27,0:04:30,0:01:54,0:00:53,0:04:35,0:03:42,0:00:29,0:04:44,0:04:30,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,GBR,25-29,open,1:11:46,0:31:44,0:04:22,0:35:40,0:03:18,0:04:12,0:00:25,0:04:10,0:02:57,0:00:32,0:04:25,0:04:55,0:00:33,0:04:33,0:03:29,0:00:52,0:04:42,0:04:32,0:00:33,0:04:35,0:02:19,0:00:42,0:04:46,0:04:43,0:00:45,0:05:11,0:04:37,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,GER,25-29,open,1:12:01,0:30:46,0:04:51,0:36:24,0:03:26,0:04:19,0:00:28,0:04:23,0:02:36,0:00:31,0:04:31,0:03:06,0:00:43,0:04:37,0:04:04,0:00:50,0:04:38,0:04:10,0:00:44,0:04:44,0:01:47,0:00:51,0:04:52,0:04:32,0:00:44,0:05:13,0:06:12,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,DEN,16-24,open,1:12:14,0:28:15,0:04:44,0:39:15,0:03:14,0:04:01,0:00:34,0:04:56,0:02:06,0:00:48,0:05:14,0:04:34,0:00:30,0:05:00,0:03:09,0:01:06,0:05:02,0:04:17,0:00:29,0:05:17,0:01:57,0:00:45,0:05:02,0:03:12,0:00:32,0:05:30,0:04:59,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,GBR,35-39,open,1:12:39,0:30:22,0:03:45,0:38:32,0:03:27,0:04:15,0:00:28,0:04:45,0:02:32,0:00:33,0:04:52,0:04:06,0:00:28,0:05:01,0:04:20,0:00:44,0:05:08,0:04:29,0:00:23,0:05:04,0:01:40,0:00:44,0:04:54,0:04:09,0:00:25,0:05:21,0:04:51,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,POL,25-29,open,1:12:46,0:29:21,0:05:05,0:38:20,0:03:43,0:04:29,0:00:30,0:04:40,0:01:48,0:00:39,0:05:02,0:04:45,0:00:38,0:04:58,0:03:55,0:01:07,0:04:45,0:04:23,0:00:30,0:04:49,0:01:57,0:00:56,0:04:46,0:03:32,0:00:45,0:05:37,0:04:32,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,LTU,40-44,open,1:12:56,0:27:57,0:05:15,0:39:44,0:03:50,0:04:12,0:00:33,0:04:54,0:02:03,0:00:41,0:05:09,0:03:42,0:00:37,0:05:08,0:04:03,0:01:15,0:05:11,0:04:22,0:00:34,0:05:00,0:01:49,0:00:55,0:05:06,0:03:38,0:00:40,0:05:26,0:04:08,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,ITA,30-34,open,0:43:28,0:08:39,0:26:37,0:08:12,0:03:21,0:04:24,0:26:37,0:04:51,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:04:15,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,NED,45-49,open,1:13:25,0:32:24,0:04:05,0:36:56,0:03:25,0:04:17,0:00:20,0:04:29,0:02:09,0:00:40,0:04:49,0:04:13,0:00:33,0:04:44,0:05:01,0:00:48,0:04:46,0:04:17,0:00:24,0:04:43,0:01:42,0:00:49,0:04:52,0:04:17,0:00:31,0:05:08,0:06:28,0:00:00
JGDMS4JI70A,S6 2024 Katowice,male,POL,30-34,open,1:13:29,0:28:10,0:05:47,0:39:32,0:05:05,0:04:18,0:00:31,0:04:33,0:02:01,0:00:55,0:04:58,0:03:49,0:00:40,0:04:50,0:03:24,0:00:59,0:04:51,0:04:10,0:00:41,0:04:54,0:01:55,0:01:03,0:04:47,0:04:09,0:00:58,0:05:34,0:04:24,0:00:00
