event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI75A,S6 2024 Malaga,male,ESP,30-34,open,0:58:03,0:23:53,0:03:36,0:30:34,0:03:42,0:03:56,0:00:47,0:03:46,0:02:12,0:00:05,0:03:50,0:03:18,0:00:33,0:03:51,0:02:23,0:00:20,0:03:50,0:04:05,0:00:34,0:03:53,0:01:30,0:00:37,0:03:48,0:02:51,0:00:40,0:03:54,0:03:38,0:00:00
JGDMS4JI75A,S6 2024 Malaga,male,ESP,25-29,open,0:59:15,0:24:19,0:03:44,0:31:12,0:03:34,0:03:56,0:00:47,0:03:44,0:02:16,0:00:05,0:03:57,0:03:21,0:00:34,0:03:59,0:02:13,0:00:21,0:04:01,0:04:10,0:00:32,0:03:56,0:01:21,0:00:41,0:04:00,0:03:13,0:00:44,0:04:01,0:03:49,0:00:00
JGDMS4JI75A,S6 2024 Malaga,male,GBR,16-24,open,0:59:44,0:24:26,0:03:27,0:31:51,0:03:44,0:04:01,0:00:47,0:03:49,0:02:11,0:00:05,0:03:56,0:02:53,0:00:35,0:04:05,0:02:45,0:00:21,0:04:07,0:04:11,0:00:35,0:04:00,0:01:15,0:00:40,0:04:05,0:03:32,0:00:24,0:04:05,0:03:38,0:00:00
JGDMS4JI75A,S6 2024 Malaga,male,ESP,30-34,open,1:00:33,0:25:01,0:04:07,0:31:25,0:03:38,0:03:57,0:00:49,0:03:51,0:02:43,0:00:06,0:03:58,0:03:20,0:00:36,0:03:55,0:02:36,0:00:24,0:04:01,0:04:10,0:00:37,0:04:00,0:01:40,0:00:43,0:03:54,0:03:02,0:00:52,0:04:08,0:03:33,0:00:00
JGDMS4JI75A,S6 2024 Malaga,male,GBR,50-54,open,1:01:12,0:25:28,0:03:48,0:31:56,0:03:45,0:04:05,0:00:50,0:03:51,0:02:28,0:00:04,0:03:57,0:03:02,0:00:34,0:04:00,0:03:15,0:00:21,0:04:06,0:04:17,0:00:36,0:04:04,0:01:21,0:00:38,0:04:02,0:03:02,0:00:45,0:04:11,0:03:58,0:00:00
JGDMS4JI75A,S6 2024 Malaga,male,POR,40-44,open,1:03:08,0:28:06,0:04:01,0:31:01,0:03:37,0:04:10,0:00:47,0:03:46,0:02:50,0:00:05,0:03:56,0:03:43,0:00:35,0:03:54,0:03:18,0:00:21,0:03:57,0:04:20,0:00:38,0:03:57,0:01:45,0:00:50,0:03:55,0:03:19,0:00:45,0:03:59,0:04:41,0:00:00
JGDMS4JI75A,S6 2024 Malaga,male,ESP,35-39,open,1:03:24,0:29:31,0:03:57,0:29:56,0:03:39,0:04:22,0:00:46,0:03:41,0:03:25,0:00:06,0:03:52,0:04:17,0:00:34,0:03:45,0:02:19,0:00:20,0:03:50,0:04:40,0:00:35,0:03:42,0:01:37,0:00:44,0:03:41,0:04:01,0:00:52,0:03:46,0:04:50,0:00:00
JGDMS4JI75A,S6 2024 Malaga,male,ESP,35-39,open,1:04:20,0:29:21,0:04:01,0:30:58,0:03:34,0:04:15,0:00:47,0:04:52,0:02:34,0:00:06,0:03:45,0:03:50,0:00:35,0:03:42,0:03:35,0:00:21,0:03:51,0:04:25,0:00:35,0:03:48,0:01:32,0:00:46,0:03:41,0:04:33,0:00:51,0:03:45,0:04:37,0:00:00
JGDMS4JI75A,S6 2024 Malaga,male,ITA,30-34,open,1:04:37,0:29:33,0:03:38,0:31:26,0:03:48,0:04:04,0:00:49,0:03:49,0:02:25,0:00:06,0:03:53,0:04:43,0:00:36,0:03:56,0:03:09,0:00:20,0:03:55,0:04:21,0:00:32,0:03:55,0:01:56,0:00:26,0:04:04,0:03:27,0:00:49,0:04:06,0:05:28,0:00:00
JGDMS4JI75A,S6 2024 Malaga,male,GBR,35-39,open,1:04:53,0:29:04,0:04:42,0:31:07,0:03:40,0:04:04,0:00:49,0:03:47,0:02:13,0:00:06,0:03:48,0:03:56,0:00:37,0:03:53,0:03:37,0:00:29,0:03:59,0:04:24,0:00:45,0:03:57,0:01:30,0:00:54,0:03:59,0:03:47,0:01:02,0:04:04,0:05:33,0:00:00
JGDMS4JI75A,S6 2024 Malaga,male,GBR,25-29,open,1:05:03,0:27:38,0:04:32,0:32:53,0:03:33,0:03:56,0:00:49,0:03:53,0:02:22,0:00:06,0:04:10,0:03:28,0:00:38,0:04:08,0:03:05,0:00:31,0:04:20,0:04:18,0:00:41,0:04:10,0:01:45,0:00:45,0:04:13,0:04:01,0:01:02,0:04:26,0:04:43,0:00:00
