event_id,event_name,name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI747,S6 2024 Rotterdam,"Ter Burg, Cem (NED)",male,NED,16-24,open,1:00:31,0:24:50,0:04:09,0:31:32,0:03:38,0:03:27,0:00:37,0:03:25,0:02:13,0:00:28,0:03:38,0:03:26,0:00:36,0:04:09,0:03:40,0:00:31,0:04:17,0:04:10,0:00:29,0:03:54,0:01:37,0:00:46,0:04:12,0:03:03,0:00:42,0:04:19,0:03:14,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Jansen, Wilbert (NED)",male,NED,30-34,open,1:01:47,0:26:03,0:04:17,0:31:27,0:03:49,0:04:09,0:00:11,0:03:41,0:02:04,0:00:24,0:03:56,0:03:23,0:00:46,0:03:59,0:03:01,0:00:42,0:04:03,0:04:16,0:00:35,0:03:59,0:01:31,0:00:51,0:03:49,0:03:31,0:00:48,0:04:11,0:04:08,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Van Osselaer, Nicky (BEL)",male,BEL,30-34,open,1:04:05,0:27:49,0:04:40,0:31:36,0:03:50,0:03:59,0:00:05,0:03:47,0:02:48,0:00:38,0:03:55,0:03:44,0:00:46,0:03:52,0:02:54,0:00:46,0:04:03,0:04:22,0:00:42,0:03:58,0:01:33,0:01:05,0:03:50,0:03:32,0:00:38,0:04:21,0:04:57,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Bakhuis, Wouter (NED)",male,NED,30-34,open,1:04:31,0:27:14,0:04:29,0:32:48,0:03:49,0:04:16,0:00:05,0:03:41,0:02:04,0:00:33,0:04:00,0:03:48,0:00:42,0:03:58,0:04:24,0:00:41,0:04:26,0:03:58,0:00:43,0:04:22,0:02:01,0:00:58,0:04:11,0:03:11,0:00:47,0:04:21,0:03:32,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Peters, Wijnand (NED)",male,NED,35-39,open,1:04:38,0:27:47,0:03:53,0:32:58,0:03:46,0:04:05,0:00:12,0:03:52,0:02:44,0:00:35,0:04:16,0:04:04,0:00:40,0:04:10,0:03:26,0:00:33,0:04:08,0:04:17,0:00:29,0:04:09,0:01:47,0:00:46,0:04:12,0:03:34,0:00:38,0:04:25,0:03:50,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Ailam, Farid (FRA)",male,FRA,35-39,open,1:04:57,0:25:45,0:04:40,0:34:32,0:04:19,0:04:04,0:00:05,0:04:10,0:02:16,0:00:35,0:04:14,0:03:16,0:00:44,0:04:20,0:02:48,0:00:37,0:04:23,0:04:22,0:01:08,0:04:18,0:01:35,0:00:54,0:04:20,0:03:06,0:00:37,0:04:28,0:04:18,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Schroer, Tim (GER)",male,GER,25-29,open,1:05:29,0:28:22,0:05:03,0:32:04,0:04:05,0:04:11,0:00:05,0:03:49,0:02:43,0:00:35,0:03:56,0:04:14,0:00:42,0:03:58,0:03:01,0:00:50,0:03:57,0:04:19,0:00:47,0:04:02,0:01:49,0:01:01,0:04:04,0:04:06,0:01:03,0:04:13,0:03:59,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Eechout, Sander (BEL)",male,BEL,35-39,open,1:06:47,0:27:45,0:04:48,0:34:14,0:03:50,0:04:01,0:00:04,0:03:56,0:02:44,0:00:37,0:04:15,0:03:55,0:00:49,0:04:29,0:03:08,0:00:46,0:04:34,0:04:22,0:00:40,0:04:22,0:01:29,0:01:05,0:04:18,0:03:34,0:00:47,0:04:30,0:04:32,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Shaw, James (GBR)",male,GBR,16-24,open,1:06:52,0:27:53,0:04:12,0:34:47,0:04:05,0:03:46,0:00:06,0:04:08,0:01:58,0:00:25,0:04:30,0:03:43,0:00:43,0:04:26,0:04:02,0:00:47,0:04:27,0:04:03,0:00:39,0:04:22,0:01:48,0:00:51,0:04:18,0:03:36,0:00:41,0:04:31,0:04:57,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Ryan, Karl (IRL)",male,IRL,30-34,open,1:07:22,0:33:26,0:03:56,0:30:00,0:03:25,0:04:15,0:00:03,0:03:23,0:02:50,0:00:28,0:03:46,0:05:14,0:00:42,0:03:54,0:04:38,0:00:38,0:03:50,0:04:19,0:00:34,0:03:58,0:02:13,0:00:51,0:03:51,0:04:26,0:00:40,0:03:53,0:05:31,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"De Die, Christian (NED)",male,NED,25-29,open,1:07:26,0:27:37,0:04:31,0:35:18,0:04:19,0:04:00,0:00:06,0:04:08,0:02:13,0:00:33,0:04:15,0:02:51,0:00:41,0:04:26,0:04:45,0:00:43,0:04:33,0:04:15,0:00:38,0:04:25,0:01:46,0:01:04,0:04:40,0:03:40,0:00:46,0:04:32,0:04:07,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Yamazaki, Kanji (JPN)",male,JPN,25-29,open,1:07:32,0:29:03,0:04:36,0:33:53,0:03:48,0:04:09,0:00:05,0:03:49,0:02:21,0:00:38,0:04:07,0:03:43,0:00:46,0:04:10,0:04:55,0:00:39,0:04:34,0:04:21,0:00:43,0:04:25,0:01:38,0:00:56,0:04:23,0:04:06,0:00:49,0:04:37,0:03:50,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Brincat, Daniel (MLT)",male,MLT,35-39,open,1:07:59,0:28:26,0:04:13,0:35:20,0:04:17,0:04:07,0:00:05,0:04:06,0:02:09,0:00:36,0:04:17,0:03:35,0:00:30,0:04:29,0:03:33,0:00:38,0:04:33,0:04:23,0:00:36,0:04:35,0:02:03,0:00:58,0:04:27,0:04:28,0:00:50,0:04:36,0:04:08,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"De Smet, Kevin (NED)",male,NED,40-44,open,1:08:10,0:28:01,0:04:16,0:35:53,0:04:15,0:04:14,0:00:05,0:04:11,0:02:09,0:00:36,0:04:32,0:03:26,0:00:42,0:04:29,0:04:09,0:00:36,0:04:37,0:04:24,0:00:36,0:04:30,0:01:49,0:00:55,0:04:36,0:03:38,0:00:46,0:04:43,0:04:12,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Seymour, Richard (GBR)",male,GBR,40-44,open,1:08:52,0:30:43,0:04:40,0:33:29,0:04:05,0:04:00,0:00:05,0:03:53,0:03:47,0:00:33,0:04:05,0:03:48,0:00:41,0:04:19,0:04:49,0:00:44,0:04:17,0:04:11,0:00:52,0:04:09,0:01:32,0:00:56,0:04:14,0:04:08,0:00:49,0:04:27,0:04:28,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Askin, David (NED)",male,NED,30-34,open,1:08:57,0:27:11,0:05:35,0:36:11,0:04:18,0:03:54,0:00:15,0:04:00,0:02:03,0:00:41,0:04:25,0:03:35,0:00:55,0:04:27,0:04:04,0:00:57,0:04:38,0:04:23,0:00:49,0:04:37,0:01:57,0:01:00,0:04:38,0:03:30,0:00:58,0:05:08,0:03:45,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Derom, Antoine (BEL)",male,BEL,30-34,open,1:09:10,0:29:33,0:04:53,0:34:44,0:04:07,0:04:07,0:00:10,0:04:00,0:02:58,0:00:38,0:04:22,0:04:01,0:00:49,0:04:19,0:04:50,0:00:49,0:04:30,0:04:23,0:00:36,0:04:19,0:01:17,0:01:04,0:04:27,0:03:50,0:00:47,0:04:40,0:04:07,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"De Block, Daniel (NED)",male,NED,25-29,open,1:09:38,0:30:42,0:05:02,0:33:54,0:04:04,0:03:57,0:00:11,0:03:57,0:02:40,0:00:33,0:04:20,0:04:34,0:00:41,0:04:08,0:02:56,0:00:48,0:04:16,0:04:37,0:00:42,0:04:12,0:01:38,0:00:59,0:04:11,0:05:06,0:01:08,0:04:46,0:05:14,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"De Bruijn, Tom (NED)",male,NED,35-39,open,1:09:47,0:30:36,0:04:32,0:34:39,0:03:54,0:04:12,0:00:04,0:03:59,0:02:51,0:00:34,0:04:13,0:04:17,0:00:41,0:04:25,0:03:33,0:00:47,0:04:26,0:04:26,0:00:36,0:04:22,0:01:59,0:01:05,0:04:28,0:04:33,0:00:45,0:04:52,0:04:45,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Cornish, Tom (ENG)",male,ENG,40-44,open,1:09:57,0:29:27,0:04:25,0:36:05,0:04:30,0:04:14,0:00:05,0:04:19,0:03:03,0:00:36,0:04:31,0:03:51,0:00:45,0:04:27,0:03:35,0:00:42,0:04:34,0:04:29,0:00:37,0:04:28,0:01:43,0:00:53,0:04:33,0:04:17,0:00:47,0:04:43,0:04:15,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Strasters, Colin (NED)",male,NED,30-34,open,1:10:06,0:28:25,0:05:36,0:36:05,0:04:37,0:04:08,0:00:12,0:04:20,0:02:19,0:00:52,0:04:30,0:03:54,0:00:52,0:04:27,0:03:59,0:00:54,0:04:28,0:04:24,0:00:41,0:04:25,0:01:48,0:01:08,0:04:26,0:03:15,0:00:57,0:04:52,0:04:38,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Morgan, Brad (GBR)",male,GBR,16-24,open,1:10:09,0:29:10,0:04:40,0:36:19,0:04:17,0:04:02,0:00:05,0:04:38,0:01:59,0:00:36,0:04:52,0:04:35,0:00:50,0:04:20,0:03:47,0:00:48,0:04:33,0:04:23,0:00:35,0:04:27,0:01:38,0:00:56,0:04:28,0:03:50,0:00:50,0:04:44,0:04:56,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"De Graaff, Leroy (NED)",male,NED,25-29,open,1:10:27,0:29:22,0:04:39,0:36:26,0:04:35,0:04:25,0:00:05,0:04:24,0:03:05,0:00:37,0:04:38,0:04:10,0:00:45,0:04:36,0:03:01,0:00:42,0:04:34,0:04:33,0:00:36,0:04:28,0:01:59,0:01:00,0:04:34,0:03:58,0:00:54,0:04:37,0:04:11,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Van Leerdam, Jozua (NED)",male,NED,40-44,open,1:10:51,0:29:44,0:04:58,0:36:09,0:04:05,0:04:20,0:00:05,0:03:54,0:02:27,0:00:36,0:04:31,0:04:18,0:00:53,0:04:34,0:04:29,0:00:45,0:04:53,0:04:21,0:00:53,0:04:37,0:02:00,0:00:57,0:04:35,0:03:32,0:00:49,0:05:00,0:04:17,0:00:00
JGDMS4JI747,S6 2024 Rotterdam,"Etienne, Alain (BEL)",male,BEL,30-34,open,1:11:04,0:29:19,0:05:15,0:36:30,0:04:13,0:04:28,0:00:05,0:04:05,0:02:05,0:00:41,0:04:50,0:03:23,0:00:51,0:04:46,0:04:47,0:00:49,0:04:49,0:04:22,0:00:49,0:04:31,0:01:32,0:01:03,0:04:31,0:04:07,0:00:57,0:04:45,0:04:35,0:00:00
