event_id,event_name,name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
UKBOveralll,S7 2024 Birmingham,"Diligent, Callum (GBR)",male,GBR,35-39,open,0:58:26,0:26:07,0:04:33,0:27:46,0:03:45,0:03:58,0:00:36,0:03:14,0:03:01,0:00:31,0:03:23,0:03:20,0:00:30,0:03:25,0:03:04,0:00:24,0:03:34,0:04:05,0:00:42,0:03:28,0:01:30,0:00:50,0:03:24,0:02:56,0:01:00,0:03:33,0:04:13,0:00:00
UKBOveralll,S7 2024 Birmingham,"Powell, Harry (GBR)",male,GBR,25-29,open,0:59:21,0:26:08,0:05:04,0:28:09,0:04:00,0:03:54,0:00:35,0:03:25,0:02:11,0:00:29,0:03:26,0:03:18,0:00:29,0:03:28,0:03:13,0:00:26,0:03:30,0:04:09,0:00:52,0:03:26,0:01:37,0:00:59,0:03:19,0:03:21,0:01:14,0:03:35,0:04:25,0:00:00
UKBOveralll,S7 2024 Birmingham,"Kumesu-Egri, Christopher (GBR)",male,GBR,16-24,open,0:59:34,0:23:38,0:04:45,0:31:11,0:04:21,0:03:47,0:00:36,0:03:41,0:01:53,0:00:31,0:03:49,0:02:42,0:00:30,0:03:54,0:02:57,0:00:26,0:03:51,0:03:57,0:00:44,0:03:48,0:01:31,0:00:58,0:03:47,0:03:07,0:01:00,0:04:00,0:03:44,0:00:00
UKBOveralll,S7 2024 Birmingham,"Parker, Lucas (GBR)",male,GBR,16-24,open,1:00:31,0:28:46,0:04:26,0:27:19,0:03:54,0:04:17,0:00:33,0:03:14,0:02:08,0:00:25,0:03:16,0:03:22,0:00:30,0:03:16,0:03:39,0:00:26,0:03:22,0:04:04,0:00:38,0:03:22,0:01:53,0:00:56,0:03:19,0:03:16,0:00:58,0:03:36,0:06:07,0:00:00
UKBOveralll,S7 2024 Birmingham,"Mason, Curtis (GBR)",male,GBR,25-29,open,1:00:50,0:25:04,0:04:50,0:30:56,0:04:14,0:03:51,0:00:34,0:03:32,0:02:12,0:00:32,0:03:44,0:03:10,0:00:31,0:03:50,0:02:47,0:00:28,0:03:51,0:04:06,0:00:43,0:03:57,0:01:36,0:01:00,0:03:54,0:03:57,0:01:02,0:03:54,0:03:25,0:00:00
UKBOveralll,S7 2024 Birmingham,"Passmore, Simon (GBR)",male,GBR,50-54,open,1:01:10,0:25:29,0:04:36,0:31:05,0:04:17,0:04:11,0:00:36,0:03:38,0:02:18,0:00:30,0:03:47,0:03:12,0:00:32,0:03:47,0:03:16,0:00:27,0:03:50,0:04:08,0:00:45,0:03:52,0:01:25,0:00:49,0:03:51,0:02:59,0:00:57,0:04:03,0:04:00,0:00:00
UKBOveralll,S7 2024 Birmingham,"Williams, Harvey (GBR)",male,GBR,16-24,open,1:01:27,0:26:48,0:05:06,0:29:33,0:03:47,0:04:21,0:00:33,0:03:29,0:02:19,0:00:38,0:03:43,0:03:19,0:00:35,0:03:41,0:03:11,0:00:31,0:03:43,0:04:21,0:00:42,0:03:36,0:01:17,0:01:02,0:03:41,0:03:05,0:01:05,0:03:53,0:04:55,0:00:00
UKBOveralll,S7 2024 Birmingham,"Fitzmartin, Ben (GBR)",male,GBR,30-34,open,1:01:30,0:26:31,0:04:33,0:30:26,0:04:05,0:03:59,0:00:35,0:03:30,0:02:15,0:00:29,0:03:45,0:03:51,0:00:30,0:03:51,0:03:15,0:00:26,0:03:40,0:04:18,0:00:43,0:03:43,0:01:33,0:00:52,0:03:50,0:03:32,0:00:58,0:04:02,0:03:48,0:00:00
UKBOveralll,S7 2024 Birmingham,"Gibson, Tom (GBR)",male,GBR,30-34,open,1:01:53,0:26:47,0:04:24,0:30:42,0:04:16,0:04:09,0:00:34,0:03:35,0:02:35,0:00:28,0:03:44,0:03:37,0:00:28,0:03:47,0:02:31,0:00:26,0:03:46,0:04:14,0:00:41,0:03:45,0:01:27,0:00:50,0:03:49,0:03:30,0:00:57,0:04:00,0:04:44,0:00:00
UKBOveralll,S7 2024 Birmingham,"Marsden, Adam (GBR)",male,GBR,30-34,open,1:01:57,0:27:11,0:04:46,0:30:00,0:04:00,0:03:55,0:00:33,0:03:29,0:02:19,0:00:32,0:03:49,0:03:20,0:00:32,0:03:43,0:04:29,0:00:25,0:03:40,0:04:14,0:00:41,0:03:34,0:01:31,0:01:00,0:03:46,0:03:47,0:01:03,0:03:59,0:03:36,0:00:00
