event_id,event_name,name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
IEDOverall,S7 2024 Dublin,"Rose, Josh (GBR)",male,GBR,35-39,open,0:57:44,0:25:31,0:02:58,0:29:15,0:02:21,0:03:46,0:00:11,0:03:46,0:02:02,0:00:22,0:03:56,0:03:04,0:00:30,0:04:00,0:03:58,0:00:21,0:04:08,0:04:06,0:00:29,0:04:03,0:01:26,0:00:33,0:04:07,0:02:49,0:00:32,0:02:54,0:04:20,0:00:00
IEDOverall,S7 2024 Dublin,"Martin, Aiden (GBR)",male,GBR,16-24,open,0:59:03,0:25:43,0:03:16,0:30:04,0:02:17,0:03:49,0:00:12,0:03:58,0:02:13,0:00:26,0:04:12,0:03:00,0:00:32,0:04:07,0:03:12,0:00:21,0:04:15,0:04:13,0:00:32,0:04:14,0:02:09,0:00:40,0:04:07,0:03:27,0:00:33,0:02:54,0:03:40,0:00:00
IEDOverall,S7 2024 Dublin,"Moulam-Jones, Chris (GBR)",male,GBR,25-29,open,0:59:57,0:26:28,0:03:03,0:30:26,0:02:11,0:04:03,0:00:11,0:03:56,0:02:26,0:00:24,0:04:11,0:03:25,0:00:31,0:04:12,0:02:48,0:00:22,0:04:23,0:04:21,0:00:28,0:04:13,0:01:50,0:00:36,0:04:16,0:03:29,0:00:31,0:03:04,0:04:06,0:00:00
IEDOverall,S7 2024 Dublin,"Super, Dan (GBR)",male,GBR,30-34,open,1:00:39,0:24:54,0:03:25,0:32:20,0:02:30,0:03:44,0:00:13,0:04:20,0:02:00,0:00:28,0:04:26,0:02:58,0:00:35,0:04:29,0:03:50,0:00:25,0:04:34,0:04:05,0:00:34,0:04:33,0:01:29,0:00:36,0:04:26,0:03:15,0:00:34,0:03:02,0:03:33,0:00:00
IEDOverall,S7 2024 Dublin,"Fitzgerald, John (IRL)",male,IRL,30-34,open,1:01:03,0:23:39,0:03:03,0:34:21,0:02:32,0:03:58,0:00:11,0:04:19,0:01:50,0:00:27,0:04:26,0:03:05,0:00:34,0:04:28,0:02:28,0:00:20,0:04:26,0:04:16,0:00:29,0:04:34,0:01:01,0:00:34,0:04:42,0:03:24,0:00:28,0:04:54,0:03:37,0:00:00
IEDOverall,S7 2024 Dublin,"Henry, Conor (GBR)",male,GBR,30-34,open,1:01:04,0:26:06,0:03:07,0:31:51,0:02:23,0:04:04,0:00:12,0:04:11,0:02:17,0:00:26,0:04:23,0:03:32,0:00:31,0:04:20,0:02:57,0:00:20,0:04:31,0:04:16,0:00:33,0:04:32,0:01:52,0:00:33,0:04:27,0:03:18,0:00:32,0:03:04,0:03:50,0:00:00
IEDOverall,S7 2024 Dublin,"White, Kieron (IRL)",male,IRL,25-29,open,1:01:16,0:26:20,0:03:17,0:31:39,0:02:31,0:03:54,0:00:12,0:04:00,0:01:59,0:00:24,0:04:14,0:03:10,0:00:32,0:04:21,0:03:44,0:00:21,0:04:28,0:04:17,0:00:31,0:04:21,0:01:39,0:00:41,0:04:21,0:03:35,0:00:36,0:03:23,0:04:02,0:00:00
IEDOverall,S7 2024 Dublin,"Warner, Matthew (GBR)",male,GBR,16-24,open,1:01:37,0:26:38,0:03:37,0:31:22,0:02:26,0:03:57,0:00:12,0:04:05,0:02:07,0:00:28,0:04:28,0:03:33,0:00:39,0:04:22,0:03:20,0:00:25,0:04:27,0:04:15,0:00:34,0:04:15,0:01:38,0:00:39,0:04:19,0:03:28,0:00:40,0:03:00,0:04:20,0:00:00
IEDOverall,S7 2024 Dublin,"Corcoran, Darragh (IRL)",male,IRL,25-29,open,1:01:57,0:26:28,0:03:31,0:31:58,0:02:34,0:04:00,0:00:11,0:04:10,0:01:54,0:00:27,0:04:26,0:03:16,0:00:35,0:04:21,0:03:24,0:00:27,0:04:28,0:04:22,0:00:33,0:04:20,0:01:26,0:00:42,0:04:39,0:03:29,0:00:36,0:03:00,0:04:37,0:00:00
IEDOverall,S7 2024 Dublin,"Nolan, Harry (IRL)",male,IRL,45-49,open,1:02:01,0:25:20,0:03:37,0:33:04,0:02:32,0:03:50,0:00:14,0:04:22,0:01:58,0:00:36,0:04:44,0:03:09,0:00:38,0:04:33,0:03:49,0:00:21,0:04:34,0:04:08,0:00:36,0:04:37,0:01:29,0:00:38,0:04:35,0:02:54,0:00:34,0:03:07,0:04:03,0:00:00
