event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number93004,open,1:02:11,0:24:43,0:02:39,0:34:49,0:04:36,0:04:05,0:00:17,0:03:58,0:02:04,0:00:28,0:04:26,0:02:48,0:00:23,0:04:19,0:02:43,0:00:27,0:04:22,0:04:16,0:00:17,0:04:13,0:01:44,0:00:19,0:04:17,0:03:01,0:00:28,0:04:38,0:04:02,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number92024,open,1:04:24,0:22:40,0:05:24,0:36:20,0:04:25,0:04:06,0:00:16,0:04:09,0:02:11,0:00:32,0:04:41,0:03:35,0:00:19,0:04:36,0:00:01,0:02:49,0:04:38,0:04:17,0:00:27,0:04:34,0:01:52,0:00:22,0:04:23,0:02:48,0:00:39,0:04:54,0:03:50,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number95012,open,1:06:00,0:24:51,0:03:28,0:37:41,0:04:57,0:03:57,0:00:18,0:04:24,0:02:18,0:00:36,0:04:41,0:03:28,0:00:26,0:04:43,0:02:37,0:00:38,0:04:41,0:04:09,0:00:20,0:04:46,0:01:52,0:00:29,0:04:33,0:02:56,0:00:41,0:04:56,0:03:34,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number92003,open,1:07:38,0:28:39,0:03:20,0:35:39,0:04:24,0:04:04,0:00:17,0:03:58,0:03:36,0:01:03,0:05:10,0:04:27,0:00:25,0:04:19,0:03:20,0:00:28,0:04:28,0:04:28,0:00:17,0:04:15,0:01:38,0:00:19,0:04:20,0:03:24,0:00:31,0:04:45,0:03:42,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number92019,open,1:08:59,0:29:12,0:03:26,0:36:21,0:04:24,0:03:56,0:00:17,0:04:05,0:03:10,0:00:31,0:05:52,0:04:01,0:00:16,0:04:13,0:03:50,0:00:48,0:04:20,0:04:05,0:00:23,0:04:23,0:01:51,0:00:23,0:04:19,0:03:41,0:00:48,0:04:45,0:04:38,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number92020,open,1:11:18,0:30:36,0:02:49,0:37:53,0:05:04,0:04:24,0:00:19,0:04:22,0:03:23,0:00:35,0:04:39,0:04:10,0:00:24,0:04:25,0:03:27,0:00:26,0:04:34,0:04:29,0:00:20,0:04:25,0:01:59,0:00:21,0:04:36,0:03:55,0:00:24,0:05:48,0:04:49,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number93003,open,1:12:47,0:30:35,0:02:48,0:39:24,0:05:05,0:04:14,0:00:18,0:04:37,0:02:56,0:00:28,0:04:51,0:03:35,0:00:22,0:04:46,0:04:33,0:00:29,0:05:05,0:04:49,0:00:18,0:04:57,0:02:00,0:00:22,0:04:50,0:04:12,0:00:31,0:05:13,0:04:16,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number93015,open,1:13:03,0:30:54,0:03:15,0:38:54,0:04:59,0:04:11,0:00:18,0:04:30,0:02:13,0:00:33,0:05:11,0:04:28,0:00:19,0:04:53,0:05:38,0:00:31,0:04:47,0:04:44,0:00:18,0:04:57,0:02:16,0:00:29,0:04:41,0:03:32,0:00:47,0:04:56,0:03:52,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number93021,open,1:13:24,0:29:09,0:02:59,0:41:16,0:05:23,0:04:08,0:00:20,0:04:38,0:02:47,0:00:25,0:05:46,0:03:27,0:00:20,0:05:00,0:03:58,0:00:29,0:05:01,0:04:16,0:00:20,0:05:10,0:01:54,0:00:22,0:04:57,0:04:06,0:00:43,0:05:21,0:04:33,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number93016,open,1:13:41,0:25:15,0:06:56,0:41:30,0:05:22,0:04:19,0:00:20,0:04:33,0:02:34,0:00:44,0:05:05,0:04:06,0:00:30,0:05:00,0:00:03,0:03:46,0:05:00,0:04:31,0:00:24,0:04:47,0:02:06,0:00:28,0:05:00,0:03:30,0:00:44,0:06:43,0:04:06,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number92022,open,1:14:39,0:28:42,0:03:28,0:42:29,0:04:45,0:04:02,0:00:18,0:04:24,0:02:22,0:00:36,0:05:40,0:04:42,0:00:26,0:05:04,0:03:16,0:00:37,0:05:31,0:04:38,0:00:22,0:05:17,0:02:11,0:00:22,0:05:15,0:03:23,0:00:47,0:06:33,0:04:08,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number94013,open,1:15:21,0:33:07,0:03:03,0:39:11,0:05:08,0:04:12,0:00:19,0:04:27,0:02:54,0:00:42,0:05:15,0:04:21,0:00:18,0:04:53,0:05:16,0:00:29,0:04:54,0:04:34,0:00:16,0:04:38,0:02:02,0:00:24,0:04:46,0:04:43,0:00:35,0:05:10,0:05:05,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number104014,open,1:15:46,0:31:11,0:03:48,0:40:47,0:05:31,0:04:16,0:00:17,0:04:39,0:03:04,0:00:42,0:05:06,0:05:20,0:00:45,0:05:00,0:03:21,0:00:37,0:05:14,0:04:33,0:00:26,0:04:59,0:01:42,0:00:20,0:04:57,0:04:16,0:00:41,0:05:21,0:04:39,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number102018,open,1:16:19,0:29:30,0:03:15,0:43:34,0:04:43,0:04:08,0:00:20,0:04:54,0:03:01,0:00:33,0:05:23,0:03:57,0:00:22,0:05:23,0:03:55,0:00:37,0:05:57,0:04:28,0:00:25,0:05:34,0:02:00,0:00:23,0:05:40,0:03:48,0:00:35,0:06:00,0:04:13,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,,Number104001,open,1:16:33,0:25:40,0:06:02,0:44:51,0:05:32,0:04:16,0:00:21,0:05:13,0:02:54,0:00:33,0:05:31,0:03:43,0:00:22,0:05:33,0:00:05,0:03:16,0:05:35,0:04:32,0:00:22,0:05:40,0:01:55,0:00:26,0:05:41,0:03:22,0:00:42,0:06:06,0:04:53,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number93017,open,1:17:45,0:28:07,0:09:02,0:40:36,0:05:01,0:03:56,0:00:19,0:04:26,0:02:39,0:00:40,0:05:07,0:04:02,0:00:22,0:05:01,0:00:08,0:05:43,0:05:12,0:04:26,0:00:32,0:05:08,0:02:00,0:00:35,0:05:10,0:04:39,0:00:51,0:05:31,0:06:17,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number104017,open,1:17:47,0:29:13,0:04:07,0:44:27,0:06:21,0:04:00,0:00:18,0:04:50,0:02:29,0:00:34,0:05:23,0:04:04,0:00:32,0:06:19,0:03:57,0:00:55,0:05:22,0:04:31,0:00:40,0:05:28,0:02:16,0:00:28,0:05:16,0:03:43,0:00:40,0:05:28,0:04:13,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number102019,open,1:18:18,0:28:54,0:03:25,0:45:59,0:06:21,0:04:08,0:00:21,0:05:12,0:02:28,0:00:33,0:05:17,0:04:26,0:00:25,0:05:40,0:02:51,0:00:32,0:05:57,0:04:28,0:00:21,0:05:50,0:02:06,0:00:32,0:05:39,0:04:04,0:00:41,0:06:03,0:04:23,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number105011,open,1:19:16,0:36:58,0:03:36,0:38:42,0:04:45,0:04:24,0:00:18,0:04:21,0:03:29,0:00:42,0:04:58,0:05:06,0:00:23,0:05:00,0:06:50,0:00:34,0:04:44,0:04:40,0:00:20,0:04:43,0:02:34,0:00:31,0:04:55,0:04:18,0:00:48,0:05:16,0:05:37,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number93014,open,1:20:05,0:35:49,0:04:00,0:40:16,0:05:28,0:04:27,0:00:21,0:04:47,0:02:28,0:00:39,0:04:51,0:04:43,0:00:29,0:04:48,0:05:00,0:00:36,0:05:03,0:04:38,0:00:29,0:05:00,0:02:35,0:00:25,0:04:59,0:04:25,0:01:01,0:05:20,0:07:33,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number92018,open,1:20:26,0:32:32,0:03:18,0:44:36,0:04:54,0:04:15,0:00:19,0:05:06,0:04:02,0:00:36,0:05:41,0:04:14,0:00:23,0:05:35,0:04:00,0:00:41,0:05:36,0:04:46,0:00:24,0:05:37,0:02:27,0:00:23,0:05:26,0:04:34,0:00:32,0:06:41,0:04:14,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number93001,open,1:20:45,0:35:10,0:03:08,0:42:27,0:05:27,0:04:08,0:00:18,0:04:43,0:03:08,0:00:24,0:06:11,0:03:48,0:00:25,0:05:03,0:06:06,0:00:34,0:05:16,0:04:35,0:00:25,0:05:13,0:01:57,0:00:24,0:05:10,0:05:07,0:00:38,0:05:24,0:06:21,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number94007,open,1:22:10,0:34:59,0:03:35,0:43:36,0:05:26,0:04:21,0:00:19,0:04:39,0:03:56,0:00:32,0:05:13,0:04:25,0:00:26,0:05:30,0:04:28,0:00:36,0:05:33,0:04:40,0:00:24,0:05:36,0:02:14,0:00:27,0:05:30,0:04:58,0:00:51,0:06:09,0:05:57,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number95017,open,1:22:43,0:35:41,0:03:08,0:43:54,0:05:27,0:04:15,0:00:19,0:05:04,0:04:18,0:00:33,0:05:22,0:04:52,0:00:21,0:05:30,0:04:23,0:00:35,0:05:43,0:04:44,0:00:21,0:05:36,0:02:25,0:00:21,0:05:27,0:05:23,0:00:38,0:05:45,0:05:21,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number94012,open,1:22:55,0:35:19,0:04:42,0:42:54,0:05:33,0:04:21,0:00:22,0:04:59,0:03:15,0:00:36,0:05:17,0:04:59,0:00:31,0:05:04,0:05:17,0:01:09,0:05:22,0:05:00,0:00:23,0:05:13,0:02:09,0:00:41,0:05:27,0:04:25,0:01:00,0:05:59,0:05:53,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number105019,open,1:23:04,0:29:10,0:06:42,0:47:12,0:05:46,0:03:49,0:00:22,0:05:07,0:02:41,0:01:10,0:06:02,0:04:03,0:00:57,0:05:59,0:03:51,0:01:16,0:06:04,0:04:30,0:00:49,0:05:58,0:02:09,0:00:52,0:05:37,0:03:23,0:01:16,0:06:39,0:04:44,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number95029,open,1:23:30,0:32:56,0:10:00,0:40:34,0:05:06,0:04:24,0:00:34,0:04:49,0:04:03,0:00:55,0:04:54,0:06:47,0:00:31,0:04:58,0:00:04,0:05:28,0:05:01,0:05:07,0:00:41,0:04:47,0:02:06,0:00:57,0:05:00,0:04:16,0:00:54,0:05:59,0:06:09,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number103026,open,1:23:40,0:34:12,0:06:02,0:43:26,0:05:40,0:03:58,0:00:23,0:05:13,0:03:17,0:01:08,0:05:39,0:05:35,0:00:46,0:05:20,0:05:32,0:01:08,0:05:27,0:04:46,0:00:52,0:05:16,0:02:26,0:00:45,0:05:17,0:03:56,0:01:00,0:05:34,0:04:42,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number93023,open,1:24:00,0:33:33,0:08:00,0:42:27,0:04:34,0:04:12,0:00:19,0:04:44,0:03:52,0:00:21,0:06:08,0:05:13,0:00:28,0:05:18,0:00:03,0:04:56,0:05:12,0:04:25,0:00:31,0:05:23,0:02:39,0:00:36,0:05:21,0:05:19,0:00:49,0:05:47,0:07:50,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,MEX,Number100022,open,1:24:02,0:36:40,0:03:38,0:43:44,0:05:33,0:04:32,0:00:20,0:04:55,0:03:52,0:00:33,0:05:17,0:05:09,0:00:25,0:05:20,0:04:40,0:00:36,0:05:32,0:04:57,0:00:25,0:05:31,0:02:13,0:00:30,0:05:38,0:05:09,0:00:49,0:05:58,0:06:08,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number104009,open,1:24:20,0:32:49,0:04:28,0:47:03,0:05:14,0:04:06,0:00:22,0:05:00,0:02:27,0:00:46,0:05:33,0:04:37,0:00:28,0:06:15,0:05:06,0:00:43,0:06:15,0:04:30,0:00:39,0:05:49,0:02:49,0:00:38,0:06:12,0:03:55,0:00:52,0:06:45,0:05:19,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number92004,open,1:24:23,0:29:27,0:03:56,0:51:00,0:05:41,0:03:52,0:00:22,0:05:12,0:02:32,0:00:39,0:06:10,0:04:23,0:00:23,0:06:15,0:03:31,0:00:40,0:06:10,0:04:27,0:00:32,0:05:56,0:02:10,0:00:27,0:09:09,0:04:29,0:00:53,0:06:27,0:04:03,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number95027,open,1:25:07,0:35:35,0:04:28,0:45:04,0:05:32,0:04:23,0:00:19,0:04:53,0:03:13,0:00:31,0:05:33,0:05:43,0:00:24,0:05:44,0:04:28,0:00:54,0:05:40,0:04:55,0:00:19,0:05:36,0:02:28,0:00:40,0:05:43,0:05:14,0:01:21,0:06:23,0:05:11,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,CAN,Number92030,open,1:25:20,0:35:56,0:03:14,0:46:10,0:05:45,0:04:34,0:00:21,0:05:13,0:03:43,0:00:24,0:06:36,0:04:44,0:00:28,0:06:06,0:04:18,0:00:35,0:05:40,0:04:55,0:00:19,0:05:20,0:03:04,0:00:24,0:05:35,0:05:02,0:00:43,0:05:55,0:05:36,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number104018,open,1:25:52,0:33:42,0:08:43,0:43:27,0:05:43,0:05:01,0:00:22,0:05:05,0:03:22,0:00:35,0:05:15,0:04:50,0:00:27,0:05:24,0:00:01,0:05:28,0:05:26,0:05:06,0:00:28,0:05:21,0:02:30,0:00:32,0:05:24,0:05:20,0:00:51,0:05:49,0:07:32,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number100017,open,1:26:03,0:33:56,0:06:13,0:45:54,0:05:47,0:04:07,0:00:21,0:05:13,0:03:48,0:01:11,0:05:42,0:04:37,0:00:39,0:05:42,0:05:09,0:01:00,0:05:40,0:04:40,0:00:32,0:05:34,0:02:23,0:01:01,0:05:36,0:04:47,0:01:29,0:06:40,0:04:25,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number94014,open,1:26:17,0:36:22,0:06:21,0:43:34,0:05:13,0:04:16,0:00:21,0:04:45,0:03:39,0:00:42,0:05:09,0:05:14,0:00:32,0:05:10,0:04:32,0:01:12,0:05:30,0:05:08,0:00:34,0:05:19,0:02:49,0:01:14,0:06:04,0:04:12,0:01:46,0:06:24,0:06:32,0:00:00
JGDMS4JI3FE,S5 2022 Los Angeles,male,USA,Number102014,open,1:26:21,0:35:46,0:04:28,0:46:07,0:06:25,0:04:08,0:00:23,0:05:22,0:03:26,0:00:37,0:05:26,0:05:12,0:00:21,0:05:33,0:05:38,0:00:52,0:05:48,0:04:33,0:00:32,0:05:54,0:02:26,0:00:41,0:05:44,0:05:57,0:01:02,0:05:55,0:04:26,0:00:00
