event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI472,S5 2023 Anaheim,male,USA,Number100009,open,1:03:32,0:25:37,0:04:34,0:33:21,0:04:27,0:03:47,0:00:37,0:03:53,0:02:20,0:00:24,0:04:07,0:02:51,0:00:25,0:04:05,0:03:34,0:00:56,0:04:12,0:03:57,0:00:35,0:04:06,0:01:24,0:00:53,0:04:11,0:03:39,0:00:44,0:04:20,0:04:05,0:00:00
JGDMS4JI472,S5 2023 Anaheim,male,USA,Number100002,open,1:06:06,0:27:13,0:04:41,0:34:12,0:04:30,0:04:15,0:00:21,0:04:00,0:02:57,0:00:24,0:04:07,0:03:33,0:00:29,0:04:11,0:02:38,0:00:59,0:04:20,0:04:18,0:00:43,0:04:21,0:01:37,0:00:58,0:04:25,0:03:59,0:00:47,0:04:18,0:03:56,0:00:00
JGDMS4JI472,S5 2023 Anaheim,male,USA,Number100012,open,1:06:38,0:28:09,0:04:50,0:33:39,0:04:22,0:04:18,0:00:20,0:03:47,0:02:42,0:00:30,0:04:25,0:04:16,0:00:39,0:04:12,0:02:59,0:00:59,0:04:15,0:04:16,0:00:40,0:04:11,0:01:38,0:01:00,0:04:10,0:03:31,0:00:42,0:04:17,0:04:29,0:00:00
JGDMS4JI472,S5 2023 Anaheim,male,USA,Number101008,open,1:07:40,0:29:01,0:04:56,0:33:43,0:04:26,0:04:01,0:00:23,0:03:52,0:02:09,0:00:30,0:04:09,0:04:13,0:00:30,0:04:08,0:04:18,0:01:01,0:04:22,0:04:24,0:00:44,0:04:05,0:01:34,0:00:58,0:04:04,0:03:48,0:00:50,0:04:37,0:04:34,0:00:00
JGDMS4JI472,S5 2023 Anaheim,male,USA,Number100021,open,1:08:19,0:29:10,0:04:44,0:34:25,0:04:24,0:04:15,0:00:23,0:04:03,0:02:36,0:00:27,0:04:17,0:03:53,0:00:33,0:04:15,0:03:28,0:00:59,0:04:19,0:04:31,0:00:39,0:04:20,0:01:56,0:00:56,0:04:24,0:04:20,0:00:47,0:04:23,0:04:11,0:00:00
JGDMS4JI472,S5 2023 Anaheim,male,USA,Number100032,open,1:09:25,0:30:44,0:05:05,0:33:36,0:04:21,0:04:16,0:00:23,0:03:51,0:03:33,0:00:28,0:04:17,0:03:26,0:00:34,0:04:13,0:03:00,0:01:02,0:04:18,0:04:22,0:00:54,0:04:21,0:01:56,0:01:01,0:04:06,0:04:06,0:00:43,0:04:09,0:06:05,0:00:00
JGDMS4JI472,S5 2023 Anaheim,male,USA,Number101006,open,1:09:50,0:27:18,0:05:33,0:36:59,0:04:26,0:04:04,0:00:25,0:04:33,0:02:15,0:00:39,0:04:49,0:04:01,0:00:35,0:04:41,0:02:16,0:01:09,0:04:43,0:04:27,0:00:41,0:04:33,0:02:13,0:01:08,0:04:30,0:03:39,0:00:56,0:04:44,0:04:23,0:00:00
JGDMS4JI472,S5 2023 Anaheim,male,USA,Number100034,open,1:10:14,0:29:34,0:04:51,0:35:49,0:04:26,0:04:25,0:00:20,0:04:05,0:02:58,0:00:28,0:04:25,0:03:48,0:00:33,0:04:34,0:03:53,0:01:00,0:04:43,0:04:35,0:00:42,0:04:37,0:01:37,0:01:04,0:04:20,0:03:37,0:00:44,0:04:39,0:04:41,0:00:00
JGDMS4JI472,S5 2023 Anaheim,male,USA,Number100008,open,1:10:22,0:26:38,0:05:13,0:38:31,0:04:56,0:04:07,0:00:24,0:04:25,0:02:21,0:00:31,0:04:43,0:03:54,0:00:35,0:04:42,0:02:18,0:01:07,0:05:04,0:04:24,0:00:45,0:04:48,0:01:43,0:01:04,0:04:52,0:03:31,0:00:47,0:05:01,0:04:20,0:00:00
JGDMS4JI472,S5 2023 Anaheim,male,USA,Number100030,open,1:10:50,0:31:07,0:04:35,0:35:08,0:04:28,0:04:25,0:00:21,0:04:02,0:03:38,0:00:28,0:04:29,0:04:24,0:00:28,0:04:24,0:03:20,0:00:55,0:04:20,0:04:25,0:00:38,0:04:24,0:01:48,0:00:58,0:04:24,0:03:51,0:00:47,0:04:37,0:05:16,0:00:00
