event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI466,S5 2023 Barcelona,male,ITA,Number144005,open,1:01:16,0:25:02,0:04:11,0:32:03,0:03:45,0:04:10,0:00:22,0:03:43,0:02:36,0:00:22,0:04:15,0:03:15,0:00:37,0:04:00,0:02:30,0:00:31,0:04:12,0:04:33,0:00:38,0:04:01,0:01:28,0:00:57,0:03:57,0:02:56,0:00:44,0:04:10,0:03:34,0:00:00
JGDMS4JI466,S5 2023 Barcelona,male,GBR,Number130027,open,1:01:44,0:25:44,0:04:02,0:31:58,0:03:54,0:04:05,0:00:19,0:03:48,0:02:14,0:00:23,0:03:54,0:03:23,0:00:25,0:04:00,0:02:46,0:00:24,0:04:02,0:04:10,0:00:43,0:04:01,0:01:44,0:00:59,0:04:07,0:03:27,0:00:49,0:04:12,0:03:55,0:00:00
JGDMS4JI466,S5 2023 Barcelona,male,GBR,Number150030,open,1:01:55,0:26:17,0:04:13,0:31:25,0:03:47,0:03:56,0:00:20,0:03:42,0:01:59,0:00:24,0:04:00,0:03:52,0:00:23,0:03:56,0:03:29,0:00:26,0:04:01,0:04:09,0:00:44,0:03:58,0:01:40,0:01:03,0:03:55,0:03:04,0:00:53,0:04:06,0:04:08,0:00:00
JGDMS4JI466,S5 2023 Barcelona,male,FRA,Number144032,open,1:02:06,0:24:33,0:04:21,0:33:12,0:04:03,0:03:37,0:00:23,0:04:02,0:02:24,0:00:25,0:04:19,0:03:31,0:00:24,0:04:10,0:02:46,0:00:29,0:04:14,0:03:59,0:00:45,0:03:59,0:01:13,0:01:06,0:04:12,0:03:13,0:00:49,0:04:13,0:03:50,0:00:00
JGDMS4JI466,S5 2023 Barcelona,male,GBR,Number143023,open,1:02:32,0:25:30,0:04:55,0:32:07,0:03:46,0:03:41,0:00:20,0:03:45,0:02:31,0:00:25,0:03:55,0:03:26,0:00:27,0:03:58,0:02:53,0:00:30,0:04:02,0:03:59,0:00:53,0:04:14,0:01:40,0:01:28,0:03:56,0:03:30,0:00:52,0:04:31,0:03:50,0:00:00
JGDMS4JI466,S5 2023 Barcelona,male,ESP,Number142022,open,1:03:23,0:28:06,0:04:26,0:30:51,0:03:28,0:04:10,0:00:19,0:03:34,0:02:25,0:00:25,0:03:52,0:04:28,0:00:26,0:03:52,0:02:34,0:00:27,0:03:57,0:04:27,0:00:47,0:03:57,0:01:55,0:01:05,0:04:01,0:03:31,0:00:57,0:04:10,0:04:36,0:00:00
JGDMS4JI466,S5 2023 Barcelona,male,ITA,Number132024,open,1:03:26,0:26:08,0:04:39,0:32:39,0:03:54,0:04:19,0:00:19,0:03:44,0:03:07,0:00:24,0:04:11,0:03:30,0:00:28,0:04:09,0:02:17,0:00:30,0:04:11,0:04:33,0:00:47,0:04:00,0:01:51,0:01:07,0:04:05,0:02:42,0:01:04,0:04:25,0:03:49,0:00:00
JGDMS4JI466,S5 2023 Barcelona,male,ESP,Number142002,open,1:04:01,0:26:11,0:04:25,0:33:25,0:03:51,0:04:03,0:00:19,0:03:48,0:02:19,0:00:26,0:04:09,0:03:15,0:00:28,0:04:13,0:02:39,0:00:31,0:04:24,0:04:13,0:00:49,0:04:12,0:01:45,0:01:01,0:04:08,0:04:10,0:00:51,0:04:40,0:03:47,0:00:00
JGDMS4JI466,S5 2023 Barcelona,male,ESP,Number142010,open,1:05:00,0:28:52,0:04:11,0:31:57,0:03:29,0:04:05,0:00:20,0:03:43,0:02:56,0:00:25,0:04:25,0:03:48,0:00:25,0:03:59,0:03:22,0:00:29,0:04:05,0:04:28,0:00:44,0:04:00,0:01:53,0:01:00,0:04:01,0:03:58,0:00:48,0:04:15,0:04:22,0:00:00
JGDMS4JI466,S5 2023 Barcelona,male,ESP,Number125031,open,1:05:19,0:28:24,0:04:22,0:32:33,0:03:39,0:04:00,0:00:20,0:03:48,0:02:34,0:00:22,0:04:11,0:03:57,0:00:25,0:04:12,0:04:11,0:00:30,0:04:16,0:04:17,0:00:46,0:04:06,0:01:57,0:01:05,0:04:08,0:03:19,0:00:54,0:04:13,0:04:09,0:00:00
