event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number115006,open,0:58:03,0:24:53,0:03:58,0:29:12,0:03:28,0:03:59,0:00:32,0:03:28,0:02:26,0:00:36,0:03:43,0:03:07,0:00:17,0:03:34,0:02:52,0:00:30,0:03:40,0:04:04,0:00:38,0:03:42,0:01:31,0:00:45,0:03:45,0:03:09,0:00:40,0:03:52,0:03:45,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,GBR,Number115012,open,1:00:56,0:24:45,0:04:25,0:31:46,0:03:41,0:03:54,0:00:35,0:03:48,0:02:08,0:00:43,0:03:55,0:02:49,0:00:22,0:04:06,0:03:12,0:00:34,0:04:14,0:04:04,0:00:45,0:04:01,0:01:24,0:00:42,0:03:55,0:03:01,0:00:44,0:04:06,0:04:13,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,NED,Number115007,open,1:03:22,0:25:23,0:04:57,0:33:02,0:03:43,0:03:51,0:00:37,0:03:54,0:02:27,0:00:44,0:04:08,0:02:44,0:00:24,0:04:03,0:03:01,0:00:39,0:04:19,0:04:14,0:00:52,0:04:08,0:01:30,0:00:58,0:04:09,0:03:18,0:00:43,0:04:38,0:04:18,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number115017,open,1:03:37,0:26:37,0:04:49,0:32:11,0:03:29,0:04:18,0:00:33,0:03:32,0:02:48,0:00:46,0:04:16,0:02:59,0:00:22,0:04:12,0:02:46,0:00:39,0:04:27,0:04:20,0:00:45,0:04:03,0:01:42,0:00:52,0:04:02,0:03:34,0:00:52,0:04:10,0:04:10,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,POR,Number121011,open,1:03:50,0:25:49,0:04:39,0:33:22,0:03:36,0:03:56,0:00:33,0:03:58,0:02:56,0:00:42,0:04:10,0:03:08,0:00:19,0:04:08,0:02:45,0:00:32,0:04:17,0:04:20,0:00:57,0:04:15,0:01:23,0:00:54,0:04:24,0:03:34,0:00:42,0:04:34,0:03:47,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number131009,open,1:04:13,0:26:42,0:04:36,0:32:55,0:03:31,0:04:03,0:00:33,0:03:56,0:02:54,0:00:41,0:04:16,0:03:15,0:00:20,0:04:16,0:02:49,0:00:35,0:04:20,0:04:19,0:00:44,0:04:20,0:01:59,0:00:54,0:04:06,0:03:21,0:00:49,0:04:10,0:04:02,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number115025,open,1:04:26,0:26:15,0:05:31,0:32:40,0:03:37,0:03:54,0:00:41,0:03:56,0:02:33,0:00:54,0:04:19,0:03:03,0:00:34,0:03:59,0:03:35,0:00:41,0:04:15,0:04:13,0:00:53,0:04:07,0:01:25,0:00:58,0:04:07,0:03:36,0:00:50,0:04:20,0:03:56,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number121026,open,1:04:27,0:25:47,0:04:40,0:34:00,0:03:36,0:03:54,0:00:31,0:03:50,0:02:36,0:00:47,0:04:46,0:03:27,0:00:21,0:04:27,0:02:59,0:00:37,0:04:26,0:04:15,0:00:45,0:04:13,0:01:37,0:00:55,0:04:22,0:03:29,0:00:44,0:04:20,0:03:30,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number133010,open,1:04:40,0:28:10,0:04:28,0:32:02,0:03:30,0:04:05,0:00:34,0:03:49,0:03:12,0:00:43,0:04:10,0:03:23,0:00:20,0:04:02,0:02:59,0:00:37,0:04:10,0:04:19,0:00:43,0:04:05,0:01:35,0:00:50,0:04:02,0:03:40,0:00:41,0:04:14,0:04:57,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number120021,open,1:05:00,0:27:47,0:04:42,0:32:31,0:03:29,0:04:05,0:00:33,0:03:54,0:02:44,0:00:41,0:04:21,0:03:50,0:00:19,0:04:09,0:03:15,0:00:39,0:04:13,0:04:21,0:00:51,0:04:02,0:01:34,0:00:50,0:04:04,0:03:35,0:00:49,0:04:19,0:04:23,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number121020,open,1:05:43,0:28:23,0:05:13,0:32:07,0:03:47,0:04:06,0:00:33,0:03:53,0:02:19,0:00:50,0:04:08,0:03:58,0:00:19,0:04:04,0:03:16,0:01:00,0:04:10,0:04:22,0:00:50,0:04:01,0:02:02,0:00:47,0:03:53,0:03:53,0:00:54,0:04:11,0:04:27,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,POR,Number120001,open,1:06:34,0:29:03,0:04:49,0:32:42,0:03:29,0:03:57,0:00:32,0:03:53,0:02:38,0:00:47,0:04:08,0:03:35,0:00:20,0:04:14,0:03:47,0:00:35,0:04:28,0:04:14,0:00:54,0:04:13,0:02:21,0:00:54,0:03:59,0:04:05,0:00:47,0:04:18,0:04:26,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number131011,open,1:06:41,0:29:28,0:05:08,0:32:05,0:03:23,0:03:57,0:00:34,0:03:42,0:02:22,0:00:51,0:04:18,0:04:09,0:00:29,0:04:06,0:03:11,0:00:36,0:04:15,0:04:36,0:00:52,0:04:03,0:01:58,0:01:02,0:03:59,0:04:17,0:00:44,0:04:19,0:04:58,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number120015,open,1:07:04,0:26:10,0:04:29,0:36:25,0:03:51,0:04:09,0:00:35,0:03:55,0:02:04,0:00:42,0:07:42,0:03:25,0:00:21,0:04:05,0:03:04,0:00:35,0:04:16,0:04:21,0:00:44,0:04:11,0:01:24,0:00:48,0:04:09,0:03:32,0:00:44,0:04:16,0:04:11,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number115027,open,1:07:10,0:27:53,0:04:28,0:34:49,0:03:44,0:04:24,0:00:35,0:04:05,0:03:07,0:00:40,0:04:23,0:03:53,0:00:20,0:04:24,0:02:22,0:00:34,0:04:27,0:04:27,0:00:45,0:04:33,0:01:55,0:00:47,0:04:35,0:03:12,0:00:47,0:04:38,0:04:33,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number133015,open,1:07:19,0:32:07,0:04:17,0:30:55,0:03:38,0:04:24,0:00:34,0:03:49,0:03:08,0:00:38,0:03:55,0:04:33,0:00:19,0:03:56,0:03:04,0:00:30,0:03:59,0:04:52,0:00:44,0:03:48,0:01:52,0:00:55,0:03:57,0:04:43,0:00:37,0:03:53,0:05:31,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number133029,open,1:07:45,0:29:06,0:04:53,0:33:46,0:03:55,0:04:10,0:00:35,0:03:57,0:02:48,0:00:43,0:04:11,0:03:57,0:00:22,0:04:11,0:02:58,0:00:35,0:04:26,0:04:27,0:00:50,0:04:22,0:02:15,0:00:59,0:04:16,0:04:02,0:00:49,0:04:28,0:04:29,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number133008,open,1:07:51,0:29:04,0:05:15,0:33:32,0:03:40,0:04:09,0:00:35,0:03:59,0:02:38,0:00:47,0:04:22,0:04:24,0:00:24,0:04:18,0:03:25,0:00:39,0:04:24,0:04:42,0:00:59,0:04:14,0:01:25,0:01:01,0:04:05,0:03:51,0:00:50,0:04:30,0:04:30,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number132001,open,1:08:17,0:28:20,0:05:14,0:34:43,0:03:33,0:04:05,0:00:36,0:04:15,0:03:08,0:00:53,0:04:37,0:03:52,0:00:22,0:04:23,0:02:41,0:00:42,0:04:40,0:04:29,0:00:50,0:04:22,0:01:38,0:01:01,0:04:25,0:04:13,0:00:50,0:04:28,0:04:14,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number120005,open,1:08:41,0:29:33,0:05:02,0:34:06,0:03:41,0:04:11,0:00:35,0:03:53,0:02:49,0:00:41,0:04:28,0:03:36,0:00:23,0:04:17,0:03:36,0:00:34,0:04:35,0:04:33,0:00:57,0:04:22,0:01:58,0:01:01,0:04:21,0:04:06,0:00:51,0:04:29,0:04:44,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number120006,open,1:08:46,0:28:35,0:05:00,0:35:11,0:03:30,0:04:02,0:00:34,0:04:00,0:02:20,0:00:45,0:04:27,0:03:43,0:00:22,0:04:27,0:03:14,0:00:40,0:04:39,0:04:29,0:00:52,0:04:39,0:02:19,0:01:02,0:04:26,0:03:53,0:00:45,0:05:03,0:04:35,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number130019,open,1:09:00,0:30:40,0:05:04,0:33:16,0:03:28,0:04:08,0:00:33,0:04:00,0:03:08,0:00:55,0:04:22,0:04:29,0:00:18,0:04:11,0:03:23,0:00:49,0:04:12,0:04:18,0:00:54,0:04:19,0:01:57,0:00:48,0:04:07,0:03:30,0:00:47,0:04:37,0:05:47,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number115026,open,1:09:09,0:29:23,0:05:21,0:34:25,0:03:41,0:04:02,0:00:36,0:04:01,0:02:45,0:00:48,0:04:17,0:03:55,0:00:25,0:04:18,0:03:38,0:00:51,0:04:35,0:04:26,0:00:55,0:04:25,0:01:40,0:00:57,0:04:28,0:03:34,0:00:49,0:04:40,0:05:23,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,POR,Number133030,open,1:09:25,0:30:52,0:05:09,0:33:24,0:03:49,0:04:15,0:00:40,0:03:54,0:02:23,0:00:47,0:04:15,0:03:44,0:00:21,0:04:03,0:03:50,0:00:41,0:04:19,0:04:49,0:00:50,0:04:13,0:01:45,0:01:01,0:04:22,0:04:08,0:00:49,0:04:29,0:05:58,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number125014,open,1:09:31,0:29:11,0:05:42,0:34:38,0:03:32,0:03:55,0:00:33,0:04:07,0:02:36,0:01:02,0:04:50,0:03:10,0:00:33,0:04:33,0:04:33,0:00:54,0:04:23,0:04:25,0:00:56,0:04:17,0:01:43,0:00:54,0:04:17,0:04:12,0:00:50,0:04:39,0:04:37,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,POR,Number115021,open,1:09:46,0:30:36,0:04:56,0:34:14,0:03:43,0:04:22,0:00:35,0:04:10,0:03:20,0:00:45,0:04:16,0:04:09,0:00:21,0:04:21,0:03:11,0:00:37,0:04:23,0:04:39,0:00:51,0:04:21,0:02:05,0:01:00,0:04:22,0:03:59,0:00:47,0:04:38,0:04:51,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number133005,open,1:10:12,0:29:39,0:05:03,0:35:30,0:04:10,0:04:23,0:00:38,0:04:16,0:03:10,0:00:43,0:04:25,0:04:02,0:00:20,0:04:24,0:02:41,0:00:37,0:04:36,0:04:38,0:00:46,0:04:30,0:01:46,0:01:11,0:04:28,0:03:47,0:00:48,0:04:41,0:05:12,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,POR,Number121005,open,1:10:16,0:31:27,0:05:35,0:33:14,0:03:39,0:04:03,0:00:35,0:03:49,0:03:03,0:01:00,0:04:22,0:04:31,0:00:30,0:04:10,0:03:39,0:00:39,0:04:37,0:04:39,0:01:05,0:04:17,0:02:18,0:00:57,0:04:06,0:04:12,0:00:49,0:04:14,0:05:02,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number115023,open,1:10:29,0:29:37,0:04:54,0:35:58,0:03:33,0:04:12,0:00:35,0:04:02,0:03:12,0:00:48,0:04:55,0:04:17,0:00:24,0:04:36,0:03:15,0:00:36,0:04:48,0:04:24,0:00:49,0:04:31,0:01:31,0:00:55,0:04:37,0:03:59,0:00:47,0:04:56,0:04:47,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,GER,Number133014,open,1:10:43,0:30:36,0:05:44,0:34:23,0:03:40,0:04:12,0:00:34,0:03:56,0:02:43,0:00:49,0:04:23,0:04:01,0:00:24,0:04:20,0:04:12,0:00:38,0:04:40,0:04:33,0:00:52,0:04:38,0:01:50,0:01:35,0:04:13,0:04:21,0:00:52,0:04:33,0:04:44,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,ESP,Number133002,open,1:10:55,0:29:15,0:05:10,0:36:30,0:04:11,0:04:04,0:00:39,0:04:21,0:02:50,0:00:47,0:04:50,0:03:51,0:00:23,0:04:31,0:03:35,0:00:40,0:04:41,0:04:37,0:00:49,0:04:28,0:01:45,0:01:03,0:04:39,0:04:09,0:00:49,0:04:49,0:04:24,0:00:00
JGDMS4JI44F,S5 2023 Bilbao,male,POR,Number122030,open,1:11:11,0:29:21,0:05:40,0:36:10,0:03:50,0:04:17,0:00:37,0:04:20,0:02:30,0:00:54,0:04:35,0:03:46,0:00:27,0:04:34,0:03:03,0:00:52,0:04:33,0:04:28,0:00:55,0:04:30,0:02:21,0:01:02,0:04:42,0:03:41,0:00:53,0:05:06,0:05:15,0:00:00
