event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI470,S5 2023 Dallas,male,USA,Number111001,open,1:03:35,0:28:40,0:03:46,0:31:09,0:03:18,0:04:11,0:00:43,0:03:43,0:03:05,0:00:36,0:03:56,0:03:06,0:00:26,0:03:53,0:04:03,0:00:20,0:04:07,0:04:34,0:00:45,0:03:54,0:01:24,0:00:27,0:03:57,0:04:01,0:00:29,0:04:21,0:04:16,0:00:00
JGDMS4JI470,S5 2023 Dallas,male,USA,Number95023,open,1:06:26,0:29:23,0:04:10,0:32:53,0:03:12,0:04:19,0:00:43,0:03:55,0:03:19,0:00:30,0:04:08,0:04:09,0:00:28,0:04:10,0:02:50,0:00:25,0:04:14,0:04:19,0:00:56,0:04:18,0:02:19,0:00:35,0:04:12,0:03:28,0:00:33,0:04:44,0:04:40,0:00:00
JGDMS4JI470,S5 2023 Dallas,male,USA,Number111031,open,1:06:52,0:26:53,0:04:10,0:35:49,0:03:42,0:04:17,0:00:46,0:04:21,0:03:08,0:00:36,0:04:36,0:04:00,0:00:34,0:04:29,0:02:02,0:00:26,0:04:35,0:04:36,0:00:53,0:04:29,0:01:45,0:00:29,0:04:31,0:02:57,0:00:26,0:05:06,0:04:08,0:00:00
JGDMS4JI470,S5 2023 Dallas,male,USA,Number111034,open,1:07:59,0:27:16,0:03:54,0:36:49,0:03:34,0:04:09,0:00:49,0:04:27,0:02:48,0:00:31,0:04:43,0:02:55,0:00:30,0:04:44,0:03:20,0:00:19,0:04:57,0:04:20,0:00:53,0:04:40,0:01:35,0:00:26,0:04:39,0:03:34,0:00:26,0:05:05,0:04:35,0:00:00
JGDMS4JI470,S5 2023 Dallas,male,USA,Number95030,open,1:08:15,0:29:51,0:04:05,0:34:19,0:03:13,0:04:10,0:00:46,0:04:00,0:03:00,0:00:32,0:04:20,0:03:59,0:00:29,0:04:17,0:03:37,0:00:19,0:04:19,0:04:45,0:00:57,0:04:21,0:01:38,0:00:30,0:04:35,0:04:18,0:00:32,0:05:14,0:04:24,0:00:00
JGDMS4JI470,S5 2023 Dallas,male,USA,Number100035,open,1:10:21,0:29:28,0:04:11,0:36:42,0:03:38,0:04:22,0:00:48,0:04:19,0:02:42,0:00:34,0:04:32,0:03:56,0:00:34,0:04:38,0:03:42,0:00:20,0:04:44,0:04:16,0:00:55,0:04:42,0:01:44,0:00:29,0:04:42,0:04:50,0:00:31,0:05:27,0:03:56,0:00:00
JGDMS4JI470,S5 2023 Dallas,male,USA,Number95015,open,1:11:12,0:29:50,0:04:22,0:37:00,0:03:31,0:04:20,0:00:48,0:04:26,0:03:09,0:00:33,0:04:45,0:03:31,0:00:30,0:04:44,0:04:04,0:00:29,0:04:52,0:04:36,0:00:56,0:04:45,0:01:34,0:00:33,0:04:44,0:03:49,0:00:33,0:05:13,0:04:47,0:00:00
JGDMS4JI470,S5 2023 Dallas,male,USA,Number95010,open,1:11:20,0:28:21,0:04:14,0:38:45,0:03:32,0:04:18,0:00:49,0:04:27,0:03:02,0:00:35,0:04:59,0:04:09,0:00:30,0:04:51,0:02:56,0:00:21,0:05:09,0:04:27,0:00:56,0:04:55,0:01:36,0:00:30,0:05:01,0:03:35,0:00:33,0:05:51,0:04:18,0:00:00
JGDMS4JI470,S5 2023 Dallas,male,USA,Number110011,open,1:11:37,0:28:47,0:03:53,0:38:57,0:03:27,0:04:00,0:00:48,0:07:48,0:03:27,0:00:35,0:04:25,0:04:53,0:00:14,0:04:24,0:03:03,0:00:21,0:04:26,0:04:17,0:00:56,0:04:27,0:01:34,0:00:31,0:04:19,0:03:11,0:00:28,0:05:41,0:04:22,0:00:00
JGDMS4JI470,S5 2023 Dallas,male,USA,Number100002,open,1:11:57,0:28:18,0:04:43,0:38:56,0:03:43,0:04:26,0:00:48,0:04:27,0:02:55,0:00:36,0:05:00,0:04:55,0:00:36,0:05:01,0:03:03,0:00:34,0:05:00,0:04:24,0:01:00,0:04:55,0:01:44,0:00:38,0:05:23,0:03:18,0:00:31,0:05:27,0:03:33,0:00:00
