event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number144050,open,0:57:50,0:24:14,0:03:04,0:30:32,0:03:36,0:04:09,0:00:18,0:03:33,0:01:40,0:00:39,0:03:50,0:02:49,0:00:32,0:03:50,0:03:01,0:00:21,0:03:44,0:04:18,0:00:05,0:03:37,0:01:35,0:00:34,0:03:39,0:03:05,0:00:35,0:04:43,0:03:37,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number122026,open,0:59:49,0:26:47,0:03:03,0:29:59,0:03:23,0:03:51,0:00:18,0:03:34,0:02:35,0:00:35,0:03:39,0:03:19,0:00:30,0:03:37,0:03:33,0:00:22,0:03:41,0:04:08,0:00:06,0:03:44,0:01:29,0:00:38,0:03:38,0:03:31,0:00:34,0:04:43,0:04:21,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number115040,open,1:00:57,0:25:02,0:03:28,0:32:27,0:03:43,0:03:59,0:00:21,0:03:40,0:01:39,0:00:43,0:04:07,0:03:09,0:00:32,0:04:12,0:02:53,0:00:25,0:04:01,0:04:15,0:00:07,0:03:56,0:01:20,0:00:43,0:03:49,0:03:08,0:00:37,0:04:59,0:04:39,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number120023,open,1:01:01,0:28:28,0:03:36,0:28:57,0:03:15,0:04:08,0:00:20,0:03:23,0:02:46,0:00:39,0:03:37,0:04:23,0:00:31,0:03:29,0:03:45,0:00:26,0:03:36,0:04:24,0:00:08,0:03:32,0:01:12,0:00:51,0:03:33,0:03:12,0:00:41,0:04:32,0:04:38,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number150006,open,1:01:57,0:26:41,0:03:23,0:31:53,0:03:50,0:04:10,0:00:21,0:03:53,0:02:14,0:00:40,0:03:48,0:03:00,0:00:31,0:03:49,0:03:40,0:00:23,0:03:57,0:04:19,0:00:05,0:03:51,0:01:20,0:00:41,0:03:53,0:03:39,0:00:42,0:04:52,0:04:19,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number113041,open,1:02:05,0:29:02,0:02:54,0:30:09,0:03:19,0:04:00,0:00:20,0:03:27,0:02:26,0:00:34,0:03:49,0:03:52,0:00:27,0:03:45,0:03:00,0:00:20,0:03:42,0:04:11,0:00:06,0:03:44,0:01:44,0:00:30,0:03:41,0:03:55,0:00:37,0:04:42,0:05:54,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number114033,open,1:02:23,0:27:26,0:03:23,0:31:34,0:03:27,0:04:11,0:00:23,0:03:32,0:02:31,0:00:39,0:03:50,0:03:54,0:00:30,0:03:43,0:02:58,0:00:26,0:04:05,0:04:29,0:00:07,0:03:54,0:01:37,0:00:36,0:03:54,0:03:25,0:00:42,0:05:09,0:04:21,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number120005,open,1:02:43,0:25:48,0:03:33,0:33:22,0:03:57,0:04:07,0:00:21,0:03:55,0:01:48,0:00:44,0:04:02,0:02:48,0:00:34,0:03:59,0:03:49,0:00:27,0:04:19,0:04:21,0:00:07,0:04:14,0:01:16,0:00:42,0:04:01,0:03:54,0:00:38,0:04:55,0:03:45,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number120037,open,1:02:49,0:29:00,0:02:55,0:30:54,0:03:29,0:04:22,0:00:19,0:03:25,0:02:46,0:00:34,0:03:46,0:03:39,0:00:30,0:03:51,0:04:39,0:00:20,0:03:54,0:04:10,0:00:06,0:03:51,0:01:18,0:00:32,0:03:47,0:03:00,0:00:34,0:04:51,0:05:06,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number114040,open,1:03:36,0:27:44,0:04:02,0:31:50,0:03:35,0:04:12,0:00:21,0:03:33,0:02:34,0:00:43,0:03:46,0:02:45,0:00:37,0:03:46,0:03:24,0:00:27,0:04:03,0:04:24,0:00:16,0:04:04,0:01:35,0:00:46,0:03:59,0:03:24,0:00:52,0:05:04,0:05:26,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number115001,open,1:03:38,0:28:08,0:04:04,0:31:26,0:03:37,0:04:01,0:00:22,0:03:38,0:02:07,0:00:40,0:03:47,0:03:59,0:00:42,0:03:49,0:03:54,0:00:28,0:03:54,0:04:23,0:00:07,0:03:53,0:01:42,0:00:59,0:03:49,0:03:31,0:00:46,0:04:59,0:04:31,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number113031,open,1:03:50,0:29:04,0:03:50,0:30:56,0:03:17,0:04:06,0:00:18,0:03:27,0:02:47,0:00:36,0:03:56,0:04:17,0:00:32,0:03:58,0:03:41,0:00:48,0:03:57,0:04:31,0:00:07,0:03:47,0:01:37,0:00:45,0:03:44,0:03:32,0:00:44,0:04:50,0:04:33,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number125022,open,1:04:04,0:26:13,0:03:17,0:34:34,0:04:02,0:04:17,0:00:22,0:03:53,0:02:40,0:00:38,0:04:18,0:03:43,0:00:36,0:04:13,0:02:27,0:00:21,0:04:18,0:04:24,0:00:06,0:04:10,0:01:46,0:00:36,0:04:11,0:03:21,0:00:38,0:05:29,0:03:35,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number115016,open,1:04:09,0:28:35,0:04:31,0:31:03,0:03:32,0:04:26,0:00:21,0:03:30,0:02:47,0:00:43,0:03:44,0:03:56,0:00:31,0:03:40,0:03:15,0:00:42,0:03:59,0:04:32,0:00:18,0:04:00,0:01:32,0:00:57,0:03:48,0:03:45,0:00:59,0:04:50,0:04:22,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number115029,open,1:04:20,0:29:50,0:03:48,0:30:42,0:03:32,0:04:12,0:00:21,0:03:32,0:02:36,0:00:39,0:03:42,0:03:36,0:00:34,0:03:39,0:04:19,0:00:25,0:03:51,0:04:34,0:00:07,0:03:44,0:01:39,0:00:52,0:03:45,0:03:47,0:00:50,0:04:57,0:05:07,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number115045,open,1:04:27,0:28:51,0:03:04,0:32:32,0:03:33,0:04:16,0:00:20,0:03:39,0:02:33,0:00:36,0:03:53,0:03:40,0:00:31,0:03:57,0:03:03,0:00:20,0:04:08,0:04:28,0:00:07,0:04:06,0:01:43,0:00:37,0:04:00,0:03:36,0:00:33,0:05:16,0:05:32,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number120009,open,1:04:37,0:30:09,0:03:19,0:31:09,0:03:28,0:04:01,0:00:18,0:03:27,0:02:18,0:00:38,0:03:55,0:03:53,0:00:31,0:03:46,0:04:21,0:00:25,0:03:56,0:04:23,0:00:07,0:03:52,0:01:48,0:00:37,0:03:51,0:04:16,0:00:43,0:04:54,0:05:09,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number120012,open,1:04:57,0:31:02,0:03:35,0:30:20,0:03:22,0:04:17,0:00:20,0:03:26,0:02:54,0:00:40,0:03:35,0:03:34,0:00:33,0:03:42,0:05:07,0:00:25,0:03:52,0:04:20,0:00:07,0:03:47,0:01:54,0:00:45,0:03:42,0:03:40,0:00:45,0:04:54,0:05:16,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number114019,open,1:05:02,0:30:03,0:03:34,0:31:25,0:03:11,0:04:02,0:00:19,0:03:30,0:02:23,0:00:43,0:04:21,0:03:49,0:00:36,0:03:56,0:04:11,0:00:27,0:04:15,0:04:47,0:00:07,0:03:38,0:02:00,0:00:36,0:03:35,0:03:31,0:00:46,0:04:59,0:05:20,0:00:00
JGDMS4JI439,S5 2023 Glasgow,male,GBR,Number135050,open,1:05:13,0:27:06,0:03:58,0:34:09,0:04:13,0:04:03,0:00:27,0:03:59,0:01:50,0:00:45,0:04:11,0:03:30,0:00:34,0:04:13,0:04:29,0:00:29,0:04:12,0:04:20,0:00:08,0:04:13,0:01:21,0:00:45,0:04:00,0:03:14,0:00:50,0:05:08,0:04:19,0:00:00
