event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI473,S5 2023 Hamburg,male,GER,Number130008,open,0:59:25,0:24:34,0:04:55,0:29:56,0:03:20,0:03:38,0:00:32,0:03:30,0:01:59,0:00:42,0:03:59,0:03:00,0:00:47,0:03:47,0:02:36,0:00:43,0:03:48,0:03:59,0:00:39,0:03:46,0:01:44,0:00:50,0:03:46,0:03:17,0:00:42,0:04:00,0:04:21,0:00:00
JGDMS4JI473,S5 2023 Hamburg,male,GER,Number113029,open,1:03:59,0:27:02,0:05:04,0:31:53,0:03:33,0:03:47,0:00:37,0:03:46,0:02:28,0:00:41,0:04:00,0:03:29,0:00:47,0:03:59,0:03:47,0:00:39,0:04:04,0:04:02,0:00:42,0:04:02,0:01:48,0:00:53,0:04:01,0:03:30,0:00:45,0:04:28,0:04:11,0:00:00
JGDMS4JI473,S5 2023 Hamburg,male,GER,Number130039,open,1:05:28,0:29:04,0:05:54,0:30:30,0:03:20,0:04:05,0:00:32,0:03:32,0:02:42,0:00:46,0:03:49,0:03:39,0:00:52,0:03:53,0:04:31,0:01:04,0:03:57,0:04:22,0:00:37,0:03:47,0:01:47,0:01:05,0:03:48,0:03:38,0:00:58,0:04:24,0:04:20,0:00:00
JGDMS4JI473,S5 2023 Hamburg,male,GER,Number113035,open,1:07:48,0:24:38,0:06:25,0:36:45,0:04:20,0:04:01,0:00:49,0:04:22,0:02:35,0:00:54,0:04:46,0:03:23,0:00:53,0:04:33,0:03:00,0:00:50,0:04:37,0:04:24,0:00:56,0:04:36,0:01:53,0:01:02,0:04:34,0:02:43,0:01:01,0:04:57,0:02:39,0:00:00
JGDMS4JI473,S5 2023 Hamburg,male,GER,Number114008,open,1:08:15,0:27:53,0:05:43,0:34:39,0:03:59,0:04:00,0:00:39,0:04:03,0:02:03,0:00:46,0:04:15,0:03:13,0:00:59,0:04:36,0:04:20,0:00:46,0:04:23,0:04:15,0:00:45,0:04:17,0:01:50,0:00:56,0:04:19,0:03:38,0:00:52,0:04:47,0:04:34,0:00:00
JGDMS4JI473,S5 2023 Hamburg,male,GER,Number114039,open,1:08:41,0:27:12,0:05:59,0:35:30,0:04:24,0:03:55,0:00:41,0:04:18,0:02:13,0:00:47,0:04:25,0:03:26,0:00:55,0:04:27,0:04:23,0:00:45,0:04:27,0:04:07,0:00:53,0:04:26,0:01:24,0:01:01,0:04:22,0:03:34,0:00:57,0:04:41,0:04:10,0:00:00
JGDMS4JI473,S5 2023 Hamburg,male,GER,Number113023,open,1:08:51,0:29:33,0:05:49,0:33:29,0:03:37,0:04:12,0:00:37,0:03:50,0:02:14,0:00:46,0:04:20,0:03:35,0:00:59,0:04:24,0:04:47,0:00:52,0:04:25,0:04:26,0:00:41,0:04:12,0:01:52,0:00:55,0:04:04,0:03:48,0:00:59,0:04:37,0:04:39,0:00:00
JGDMS4JI473,S5 2023 Hamburg,male,GER,Number113024,open,1:09:21,0:30:33,0:05:34,0:33:14,0:03:32,0:04:12,0:00:37,0:03:52,0:02:17,0:00:44,0:04:14,0:04:16,0:00:51,0:04:29,0:04:42,0:00:43,0:04:27,0:04:24,0:00:46,0:04:15,0:01:56,0:01:06,0:04:09,0:04:03,0:00:47,0:04:16,0:04:43,0:00:00
JGDMS4JI473,S5 2023 Hamburg,male,GER,Number113025,open,1:09:27,0:31:43,0:05:36,0:32:08,0:03:25,0:04:06,0:00:34,0:03:57,0:03:10,0:00:46,0:04:19,0:04:58,0:00:48,0:03:58,0:04:10,0:00:44,0:04:02,0:04:14,0:00:50,0:04:08,0:01:43,0:00:59,0:04:03,0:04:12,0:00:55,0:04:16,0:05:10,0:00:00
JGDMS4JI473,S5 2023 Hamburg,male,GER,Number113016,open,1:09:56,0:29:22,0:05:36,0:34:58,0:03:46,0:04:26,0:00:35,0:04:01,0:02:34,0:00:43,0:04:21,0:04:44,0:00:53,0:04:30,0:02:53,0:00:45,0:04:28,0:04:25,0:00:46,0:04:25,0:01:55,0:01:00,0:04:29,0:03:39,0:00:54,0:04:58,0:04:46,0:00:00
