event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI46C,S5 2023 Hannover,male,GER,Number120022,open,0:59:18,0:23:44,0:04:08,0:31:26,0:03:44,0:03:54,0:00:36,0:03:41,0:01:51,0:00:37,0:03:59,0:03:01,0:00:42,0:03:58,0:03:03,0:00:06,0:04:00,0:03:55,0:00:41,0:03:55,0:01:31,0:00:41,0:04:00,0:03:05,0:00:45,0:04:09,0:03:24,0:00:00
JGDMS4JI46C,S5 2023 Hannover,male,GBR,Number134025,open,1:01:43,0:27:13,0:04:06,0:30:24,0:03:35,0:03:50,0:00:36,0:03:40,0:02:29,0:00:35,0:03:49,0:03:43,0:00:41,0:03:53,0:02:53,0:00:06,0:03:50,0:04:01,0:00:42,0:03:49,0:01:42,0:00:44,0:03:46,0:04:05,0:00:42,0:04:02,0:04:30,0:00:00
JGDMS4JI46C,S5 2023 Hannover,male,GER,Number120006,open,1:01:59,0:25:27,0:04:12,0:32:20,0:03:50,0:04:08,0:00:40,0:03:46,0:02:08,0:00:40,0:03:55,0:03:15,0:00:43,0:03:59,0:02:48,0:00:06,0:04:04,0:04:15,0:00:41,0:04:02,0:01:21,0:00:42,0:04:15,0:03:37,0:00:40,0:04:29,0:03:55,0:00:00
JGDMS4JI46C,S5 2023 Hannover,male,GER,Number135033,open,1:03:08,0:23:38,0:04:38,0:34:52,0:04:18,0:03:50,0:00:44,0:04:16,0:01:47,0:00:45,0:04:24,0:03:08,0:00:57,0:04:20,0:02:28,0:00:06,0:04:33,0:04:06,0:00:47,0:04:12,0:01:27,0:00:39,0:04:12,0:02:54,0:00:40,0:04:37,0:03:58,0:00:00
JGDMS4JI46C,S5 2023 Hannover,male,GER,Number131035,open,1:03:37,0:27:06,0:04:16,0:32:15,0:03:57,0:04:03,0:00:40,0:03:49,0:02:29,0:00:39,0:03:59,0:03:36,0:00:44,0:04:01,0:03:21,0:00:06,0:04:03,0:04:13,0:00:43,0:04:01,0:01:40,0:00:41,0:04:00,0:04:09,0:00:43,0:04:25,0:03:35,0:00:00
JGDMS4JI46C,S5 2023 Hannover,male,GER,Number121009,open,1:03:53,0:26:15,0:04:57,0:32:41,0:04:02,0:04:01,0:00:41,0:03:49,0:01:54,0:00:45,0:04:07,0:03:24,0:00:51,0:03:59,0:03:47,0:00:11,0:04:11,0:04:04,0:00:47,0:04:05,0:01:40,0:00:49,0:04:00,0:03:13,0:00:53,0:04:28,0:04:12,0:00:00
JGDMS4JI46C,S5 2023 Hannover,male,GER,Number134015,open,1:04:01,0:25:41,0:05:07,0:33:13,0:04:02,0:04:00,0:00:46,0:04:00,0:02:39,0:00:47,0:04:08,0:03:24,0:00:53,0:04:05,0:02:52,0:00:09,0:04:15,0:04:14,0:00:58,0:03:59,0:01:32,0:00:49,0:04:05,0:02:50,0:00:45,0:04:39,0:04:10,0:00:00
JGDMS4JI46C,S5 2023 Hannover,male,GER,Number133031,open,1:04:42,0:27:30,0:05:13,0:31:59,0:03:40,0:04:05,0:00:42,0:03:49,0:02:12,0:00:48,0:03:52,0:03:13,0:00:48,0:03:55,0:03:03,0:00:09,0:04:07,0:04:41,0:00:49,0:03:57,0:01:35,0:00:55,0:04:01,0:03:28,0:01:02,0:04:38,0:05:13,0:00:00
JGDMS4JI46C,S5 2023 Hannover,male,GBR,Number140003,open,1:05:22,0:27:25,0:05:07,0:32:50,0:03:46,0:03:39,0:00:40,0:03:42,0:01:41,0:01:10,0:04:14,0:04:17,0:00:47,0:04:13,0:04:11,0:00:07,0:04:09,0:04:12,0:00:48,0:04:07,0:01:31,0:00:46,0:04:04,0:03:18,0:00:49,0:04:35,0:04:36,0:00:00
JGDMS4JI46C,S5 2023 Hannover,male,GBR,Number140025,open,1:05:40,0:31:53,0:04:14,0:29:33,0:03:16,0:04:18,0:00:33,0:03:24,0:02:20,0:00:37,0:03:49,0:04:24,0:00:39,0:03:39,0:04:30,0:00:06,0:03:40,0:04:26,0:00:42,0:03:46,0:01:39,0:00:49,0:03:51,0:03:55,0:00:48,0:04:08,0:06:21,0:00:00
