event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI46F,S5 2023 Hong Kong,male,SUI,Number120004,open,1:02:26,0:26:57,0:03:41,0:31:48,0:03:08,0:04:09,0:00:30,0:03:49,0:02:06,0:00:11,0:04:12,0:03:11,0:00:15,0:04:07,0:02:55,0:00:39,0:04:09,0:04:17,0:00:35,0:04:05,0:02:01,0:00:41,0:03:58,0:03:36,0:00:50,0:04:20,0:04:42,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,ITA,Number130008,open,1:05:02,0:27:11,0:03:50,0:34:01,0:03:00,0:04:14,0:00:29,0:03:57,0:01:33,0:00:09,0:04:04,0:03:10,0:00:16,0:04:21,0:03:59,0:00:37,0:04:29,0:04:17,0:00:35,0:04:43,0:02:03,0:00:42,0:04:38,0:03:32,0:01:02,0:04:49,0:04:23,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,USA,Number131013,open,1:06:38,0:28:46,0:03:19,0:34:33,0:03:23,0:04:18,0:00:27,0:04:10,0:02:06,0:00:09,0:04:14,0:02:33,0:00:15,0:04:27,0:03:57,0:00:31,0:04:32,0:04:29,0:00:30,0:04:29,0:01:50,0:00:39,0:04:32,0:04:38,0:00:48,0:04:46,0:04:55,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,CAN,Number112020,open,1:07:05,0:28:39,0:03:50,0:34:36,0:03:33,0:04:01,0:00:30,0:04:17,0:02:00,0:00:11,0:04:22,0:03:00,0:00:16,0:04:22,0:04:08,0:00:42,0:04:34,0:04:13,0:00:33,0:04:20,0:01:57,0:00:43,0:04:24,0:03:48,0:00:55,0:04:44,0:05:32,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,NED,Number120019,open,1:08:46,0:27:14,0:05:16,0:36:16,0:03:33,0:03:50,0:00:31,0:04:21,0:02:00,0:00:35,0:04:49,0:02:51,0:00:27,0:04:51,0:04:09,0:00:56,0:04:38,0:04:09,0:00:46,0:04:37,0:02:01,0:00:50,0:04:29,0:03:30,0:01:11,0:04:58,0:04:44,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,GBR,Number111001,open,1:09:10,0:28:15,0:04:45,0:36:10,0:03:23,0:03:56,0:00:33,0:04:12,0:01:42,0:00:10,0:04:35,0:03:12,0:00:19,0:04:31,0:04:01,0:00:44,0:04:48,0:04:09,0:00:52,0:04:50,0:01:51,0:00:55,0:04:44,0:04:05,0:01:12,0:05:07,0:05:19,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,HKG,Number143012,open,1:10:38,0:29:10,0:04:48,0:36:40,0:03:16,0:04:11,0:00:32,0:04:29,0:02:00,0:00:18,0:04:51,0:05:25,0:00:34,0:04:50,0:03:15,0:01:04,0:04:57,0:04:24,0:00:33,0:04:44,0:02:02,0:00:43,0:04:41,0:03:20,0:01:04,0:04:52,0:04:33,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,GBR,Number131015,open,1:11:58,0:27:56,0:04:44,0:39:18,0:03:53,0:03:54,0:00:34,0:04:56,0:01:16,0:00:19,0:05:23,0:03:23,0:00:24,0:05:15,0:04:07,0:00:54,0:05:12,0:04:28,0:00:42,0:04:57,0:02:14,0:00:46,0:04:43,0:03:48,0:01:05,0:04:59,0:04:46,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,FRA,Number132009,open,1:13:12,0:28:26,0:05:03,0:39:43,0:03:50,0:04:14,0:00:34,0:04:30,0:01:53,0:00:11,0:04:52,0:03:58,0:00:17,0:04:55,0:02:44,0:01:01,0:05:20,0:04:31,0:00:43,0:05:37,0:02:45,0:00:47,0:05:01,0:04:08,0:01:30,0:05:38,0:04:13,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,HKG,Number111014,open,1:13:41,0:30:00,0:04:29,0:39:12,0:03:30,0:04:30,0:00:34,0:04:43,0:01:58,0:00:12,0:05:14,0:04:06,0:00:18,0:05:16,0:03:08,0:00:50,0:05:07,0:04:17,0:00:48,0:05:12,0:02:08,0:00:47,0:05:06,0:03:14,0:01:00,0:05:04,0:06:39,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,HKG,Number113020,open,1:13:47,0:34:59,0:04:27,0:34:21,0:03:21,0:04:36,0:00:31,0:04:07,0:02:23,0:00:09,0:04:26,0:07:01,0:00:14,0:04:19,0:03:25,0:00:46,0:04:25,0:04:35,0:00:46,0:04:28,0:02:04,0:00:50,0:04:34,0:04:34,0:01:11,0:04:41,0:06:21,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,NAM,Number135005,open,1:13:54,0:28:56,0:04:10,0:40:48,0:03:54,0:04:12,0:00:32,0:04:46,0:01:39,0:00:11,0:05:09,0:02:20,0:00:19,0:05:29,0:05:05,0:00:47,0:05:33,0:04:34,0:00:36,0:05:25,0:01:55,0:00:47,0:05:10,0:04:15,0:00:58,0:05:22,0:04:56,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,HKG,Number123017,open,1:13:59,0:31:24,0:04:24,0:38:11,0:03:33,0:04:25,0:00:31,0:04:31,0:01:38,0:00:15,0:04:45,0:04:10,0:00:18,0:04:52,0:03:34,0:00:53,0:05:05,0:04:27,0:00:38,0:05:12,0:02:22,0:00:51,0:04:59,0:04:12,0:00:58,0:05:14,0:06:36,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,GBR,Number112010,open,1:14:36,0:29:15,0:04:45,0:40:36,0:03:55,0:04:17,0:00:38,0:04:54,0:01:44,0:00:15,0:05:23,0:03:26,0:00:21,0:05:20,0:04:02,0:00:53,0:05:15,0:04:16,0:00:46,0:05:10,0:02:00,0:00:49,0:05:09,0:03:52,0:01:03,0:05:30,0:05:38,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,NZL,Number111006,open,1:15:29,0:26:52,0:05:21,0:43:16,0:03:42,0:03:51,0:00:33,0:04:59,0:01:42,0:00:12,0:05:14,0:03:11,0:00:19,0:05:34,0:03:58,0:01:07,0:06:10,0:04:07,0:00:58,0:05:50,0:02:17,0:00:49,0:05:47,0:03:37,0:01:23,0:06:00,0:04:09,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,HKG,Number121019,open,1:16:27,0:31:16,0:04:30,0:40:41,0:03:50,0:04:34,0:00:35,0:04:49,0:02:18,0:00:11,0:05:07,0:03:57,0:00:19,0:05:11,0:03:29,0:00:45,0:05:12,0:04:36,0:00:40,0:05:17,0:02:41,0:00:48,0:05:36,0:04:13,0:01:12,0:05:39,0:05:28,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,CAN,Number133014,open,1:17:04,0:33:20,0:05:03,0:38:41,0:03:19,0:04:24,0:00:31,0:04:22,0:01:54,0:00:13,0:04:55,0:03:55,0:00:20,0:04:51,0:05:03,0:01:00,0:05:02,0:04:44,0:00:48,0:05:08,0:02:32,0:00:51,0:05:17,0:05:17,0:01:20,0:05:47,0:05:31,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,BEL,Number125015,open,1:17:19,0:30:07,0:05:56,0:41:16,0:03:47,0:04:36,0:00:36,0:04:50,0:02:00,0:00:24,0:05:24,0:03:23,0:00:26,0:05:29,0:03:35,0:01:16,0:05:23,0:04:43,0:00:54,0:05:15,0:02:02,0:00:55,0:05:13,0:03:48,0:01:25,0:05:55,0:06:00,0:00:00
JGDMS4JI46F,S5 2023 Hong Kong,male,GBR,Number112014,open,1:17:27,0:28:55,0:04:56,0:43:36,0:04:21,0:04:18,0:00:39,0:05:08,0:01:19,0:00:14,0:05:45,0:03:45,0:00:24,0:05:52,0:04:08,0:00:54,0:05:49,0:04:37,0:00:46,0:05:40,0:01:46,0:00:55,0:05:31,0:03:51,0:01:04,0:05:30,0:05:11,0:00:00
