event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI462,S5 2023 Houston,male,USA,Number104010,open,1:05:13,0:26:26,0:03:02,0:35:45,0:03:11,0:04:02,0:00:13,0:04:13,0:02:24,0:01:00,0:04:43,0:03:39,0:00:39,0:04:36,0:02:28,0:00:16,0:04:48,0:04:26,0:00:31,0:04:34,0:01:48,0:00:06,0:04:28,0:03:51,0:00:17,0:05:12,0:03:48,0:00:00
JGDMS4JI462,S5 2023 Houston,male,USA,Number113021,open,1:08:08,0:27:43,0:02:37,0:37:48,0:03:15,0:03:48,0:00:16,0:04:34,0:02:50,0:00:46,0:04:52,0:03:38,0:00:37,0:04:55,0:04:02,0:00:08,0:04:57,0:04:12,0:00:19,0:04:53,0:01:33,0:00:10,0:04:51,0:03:46,0:00:21,0:05:31,0:03:54,0:00:00
JGDMS4JI462,S5 2023 Houston,male,USA,Number104012,open,1:10:15,0:28:55,0:02:39,0:38:41,0:03:20,0:04:08,0:00:15,0:04:15,0:02:23,0:00:44,0:04:52,0:04:49,0:00:35,0:05:01,0:03:26,0:00:13,0:05:33,0:04:10,0:00:18,0:04:56,0:01:42,0:00:07,0:05:01,0:04:02,0:00:27,0:05:43,0:04:15,0:00:00
JGDMS4JI462,S5 2023 Houston,male,USA,Number104023,open,1:10:23,0:29:00,0:02:24,0:38:59,0:03:20,0:04:03,0:00:14,0:06:11,0:02:47,0:00:39,0:04:46,0:04:02,0:00:32,0:04:46,0:03:58,0:00:09,0:04:53,0:04:22,0:00:17,0:04:53,0:01:37,0:00:09,0:04:52,0:04:19,0:00:24,0:05:18,0:03:52,0:00:00
JGDMS4JI462,S5 2023 Houston,male,USA,Number104022,open,1:10:38,0:29:37,0:02:27,0:38:34,0:03:21,0:04:26,0:00:14,0:04:28,0:02:51,0:00:42,0:05:08,0:04:22,0:00:35,0:05:04,0:04:01,0:00:10,0:05:04,0:04:19,0:00:18,0:04:59,0:01:42,0:00:09,0:05:02,0:04:03,0:00:19,0:05:28,0:03:53,0:00:00
JGDMS4JI462,S5 2023 Houston,male,USA,Number105002,open,1:12:27,0:30:57,0:02:31,0:38:59,0:03:50,0:04:21,0:00:13,0:04:38,0:03:00,0:00:41,0:04:56,0:04:26,0:00:37,0:04:54,0:03:28,0:00:10,0:05:12,0:04:32,0:00:17,0:05:00,0:02:24,0:00:09,0:05:02,0:03:54,0:00:24,0:05:27,0:04:52,0:00:00
JGDMS4JI462,S5 2023 Houston,male,USA,Number104017,open,1:13:31,0:31:42,0:02:36,0:39:13,0:03:27,0:04:15,0:00:13,0:04:38,0:03:09,0:00:41,0:04:50,0:04:08,0:00:33,0:04:55,0:04:29,0:00:14,0:05:13,0:04:41,0:00:22,0:05:11,0:02:00,0:00:11,0:05:20,0:04:40,0:00:22,0:05:39,0:04:20,0:00:00
JGDMS4JI462,S5 2023 Houston,male,USA,Number105028,open,1:14:35,0:33:29,0:02:49,0:38:17,0:03:58,0:04:31,0:00:16,0:04:40,0:03:17,0:00:44,0:04:49,0:05:25,0:00:34,0:04:49,0:04:20,0:00:11,0:04:54,0:04:25,0:00:19,0:04:55,0:02:00,0:00:16,0:04:53,0:05:13,0:00:29,0:05:19,0:04:18,0:00:00
JGDMS4JI462,S5 2023 Houston,male,USA,Number104034,open,1:15:17,0:33:13,0:03:04,0:39:00,0:03:40,0:04:24,0:00:14,0:04:41,0:03:17,0:00:45,0:04:50,0:04:19,0:00:39,0:05:02,0:04:42,0:00:25,0:05:02,0:04:51,0:00:18,0:04:57,0:01:54,0:00:15,0:05:04,0:06:06,0:00:28,0:05:44,0:03:40,0:00:00
JGDMS4JI462,S5 2023 Houston,male,USA,Number104005,open,1:15:47,0:31:47,0:02:33,0:41:27,0:03:21,0:03:55,0:00:15,0:04:51,0:03:20,0:00:45,0:05:15,0:03:49,0:00:33,0:05:23,0:03:15,0:00:16,0:05:27,0:04:26,0:00:15,0:05:04,0:01:46,0:00:07,0:05:23,0:04:46,0:00:22,0:06:43,0:06:30,0:00:00
