event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number113012,open,1:01:08,0:25:23,0:03:38,0:32:07,0:02:38,0:04:02,0:00:24,0:03:56,0:02:00,0:00:30,0:04:19,0:03:04,0:00:36,0:04:10,0:03:09,0:00:26,0:04:18,0:04:21,0:00:26,0:04:15,0:01:31,0:00:39,0:04:12,0:03:18,0:00:37,0:04:19,0:03:58,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number112006,open,1:01:24,0:23:20,0:04:03,0:34:01,0:02:48,0:03:52,0:00:26,0:04:04,0:01:42,0:00:31,0:04:32,0:02:51,0:00:37,0:04:30,0:02:33,0:00:31,0:04:37,0:04:13,0:00:28,0:04:21,0:01:20,0:00:46,0:04:29,0:03:01,0:00:44,0:04:40,0:03:48,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number113010,open,1:03:02,0:28:30,0:03:28,0:31:04,0:02:36,0:04:12,0:00:24,0:03:49,0:02:01,0:00:27,0:04:19,0:04:18,0:00:37,0:04:03,0:03:13,0:00:22,0:04:06,0:04:19,0:00:22,0:03:59,0:01:36,0:00:38,0:04:01,0:04:00,0:00:38,0:04:11,0:04:51,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number112017,open,1:04:18,0:25:48,0:04:01,0:34:29,0:02:47,0:03:42,0:00:26,0:04:11,0:02:11,0:00:38,0:04:42,0:03:11,0:00:35,0:04:32,0:03:50,0:00:24,0:04:42,0:04:05,0:00:32,0:04:30,0:01:39,0:00:45,0:04:31,0:03:21,0:00:41,0:04:34,0:03:49,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number125002,open,1:04:54,0:27:22,0:03:31,0:34:01,0:02:43,0:04:01,0:00:23,0:04:13,0:02:27,0:00:27,0:04:33,0:03:57,0:00:36,0:04:34,0:03:11,0:00:23,0:04:31,0:04:03,0:00:29,0:04:33,0:01:49,0:00:36,0:04:20,0:03:32,0:00:37,0:04:34,0:04:22,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number114009,open,1:05:02,0:27:49,0:03:42,0:33:31,0:02:49,0:04:16,0:00:23,0:04:08,0:02:36,0:00:28,0:04:30,0:03:16,0:00:39,0:04:21,0:03:10,0:00:25,0:04:29,0:04:20,0:00:28,0:04:23,0:01:40,0:00:46,0:04:20,0:02:59,0:00:33,0:04:31,0:05:32,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number112005,open,1:05:44,0:27:38,0:04:02,0:34:04,0:02:55,0:03:58,0:00:28,0:04:17,0:02:47,0:00:29,0:04:25,0:03:23,0:00:32,0:04:22,0:04:11,0:00:30,0:04:31,0:04:09,0:00:36,0:04:27,0:01:51,0:00:49,0:04:26,0:02:59,0:00:38,0:04:41,0:04:20,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number113002,open,1:06:23,0:25:35,0:03:53,0:36:55,0:03:01,0:03:51,0:00:27,0:04:26,0:01:48,0:00:30,0:04:42,0:03:01,0:00:38,0:04:41,0:03:15,0:00:22,0:04:59,0:04:08,0:00:35,0:04:45,0:01:32,0:00:43,0:05:09,0:03:38,0:00:38,0:05:12,0:04:22,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number112009,open,1:06:31,0:28:53,0:03:30,0:34:08,0:02:53,0:04:05,0:00:25,0:04:10,0:02:37,0:00:29,0:04:28,0:03:54,0:00:33,0:04:19,0:03:36,0:00:21,0:04:33,0:04:16,0:00:26,0:04:35,0:01:50,0:00:40,0:04:29,0:04:06,0:00:36,0:04:41,0:04:29,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number112014,open,1:06:43,0:29:50,0:03:57,0:32:56,0:02:58,0:04:05,0:00:26,0:04:01,0:02:46,0:00:29,0:04:13,0:04:02,0:00:33,0:04:14,0:04:44,0:00:34,0:04:23,0:04:15,0:00:30,0:04:17,0:01:38,0:00:41,0:04:22,0:03:44,0:00:44,0:04:28,0:04:36,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number131020,open,1:08:09,0:25:50,0:04:12,0:38:07,0:03:11,0:03:51,0:00:29,0:04:40,0:02:43,0:00:38,0:04:50,0:02:55,0:00:44,0:05:01,0:02:30,0:00:25,0:05:20,0:04:08,0:00:32,0:04:55,0:01:40,0:00:44,0:05:00,0:03:31,0:00:40,0:05:10,0:04:32,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number113007,open,1:08:25,0:27:26,0:04:00,0:36:59,0:02:50,0:04:01,0:00:23,0:04:22,0:02:03,0:00:38,0:04:38,0:03:04,0:00:37,0:04:47,0:03:36,0:00:26,0:05:08,0:04:14,0:00:27,0:04:47,0:01:38,0:00:45,0:04:55,0:03:54,0:00:44,0:05:32,0:04:56,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number130022,open,1:09:16,0:27:38,0:04:01,0:37:37,0:03:06,0:04:08,0:00:28,0:04:40,0:02:24,0:00:32,0:04:52,0:03:12,0:00:40,0:05:02,0:03:51,0:00:24,0:05:04,0:04:23,0:00:29,0:05:07,0:02:08,0:00:49,0:04:45,0:03:08,0:00:39,0:05:01,0:04:24,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number112015,open,1:10:03,0:27:30,0:04:08,0:38:25,0:03:23,0:04:01,0:00:27,0:04:48,0:02:29,0:00:30,0:04:59,0:02:58,0:00:38,0:05:03,0:03:58,0:00:27,0:05:04,0:04:16,0:00:32,0:04:56,0:02:01,0:00:56,0:04:58,0:03:38,0:00:38,0:05:14,0:04:09,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number113006,open,1:10:20,0:28:56,0:04:48,0:36:36,0:02:54,0:04:05,0:00:22,0:04:17,0:02:45,0:00:32,0:04:45,0:03:29,0:01:02,0:04:54,0:03:36,0:01:03,0:04:54,0:04:37,0:00:26,0:04:56,0:02:22,0:00:46,0:04:46,0:03:29,0:00:37,0:05:10,0:04:33,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number131013,open,1:11:12,0:30:31,0:05:45,0:34:56,0:02:50,0:04:19,0:00:30,0:04:18,0:02:55,0:00:49,0:04:31,0:04:26,0:01:06,0:04:27,0:03:57,0:00:38,0:04:57,0:04:50,0:00:45,0:04:36,0:01:43,0:00:59,0:04:33,0:03:31,0:00:58,0:04:44,0:04:50,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number112027,open,1:11:33,0:31:10,0:05:17,0:35:06,0:02:49,0:03:47,0:00:24,0:04:04,0:02:12,0:00:33,0:04:32,0:03:56,0:00:47,0:04:26,0:04:48,0:00:37,0:04:41,0:04:27,0:00:39,0:04:31,0:02:05,0:01:05,0:04:38,0:05:03,0:01:12,0:05:25,0:04:52,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number112016,open,1:11:58,0:27:12,0:05:04,0:39:42,0:03:09,0:04:16,0:00:32,0:04:44,0:02:20,0:00:49,0:05:29,0:03:10,0:00:55,0:05:14,0:03:25,0:00:28,0:05:19,0:04:19,0:00:39,0:05:10,0:01:56,0:00:49,0:05:12,0:03:09,0:00:52,0:05:25,0:04:37,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number112031,open,1:12:18,0:29:51,0:04:37,0:37:50,0:02:55,0:04:16,0:00:26,0:04:22,0:02:19,0:00:28,0:04:58,0:04:05,0:00:40,0:04:48,0:04:05,0:00:25,0:05:08,0:04:23,0:00:55,0:04:58,0:02:30,0:00:56,0:05:15,0:04:03,0:00:47,0:05:26,0:04:10,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number131009,open,1:12:37,0:28:03,0:04:57,0:39:37,0:02:58,0:04:00,0:00:30,0:04:58,0:01:51,0:00:50,0:05:35,0:03:28,0:00:48,0:05:17,0:04:14,0:00:32,0:05:17,0:04:09,0:00:36,0:05:05,0:01:47,0:00:54,0:05:05,0:03:47,0:00:47,0:05:22,0:04:47,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number114013,open,1:13:10,0:28:13,0:04:04,0:40:53,0:03:32,0:04:09,0:00:30,0:04:59,0:02:46,0:00:34,0:05:14,0:03:42,0:00:36,0:05:15,0:03:17,0:00:26,0:05:27,0:04:15,0:00:31,0:05:21,0:01:49,0:00:45,0:05:25,0:03:42,0:00:42,0:05:40,0:04:33,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,FRA,Number112013,open,1:13:21,0:32:43,0:04:38,0:36:00,0:02:51,0:04:06,0:00:27,0:04:09,0:03:49,0:01:05,0:05:27,0:04:30,0:00:39,0:04:38,0:04:41,0:00:27,0:04:43,0:04:23,0:00:33,0:04:39,0:01:53,0:00:47,0:04:40,0:04:23,0:00:40,0:04:53,0:04:58,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,FRA,Number113009,open,1:13:51,0:28:40,0:04:17,0:40:54,0:03:05,0:04:13,0:00:25,0:04:48,0:02:16,0:00:41,0:05:31,0:03:38,0:00:50,0:05:20,0:04:22,0:00:23,0:05:45,0:04:17,0:00:37,0:05:16,0:01:23,0:00:43,0:05:25,0:03:13,0:00:38,0:05:44,0:05:18,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GBR,Number113008,open,1:14:14,0:33:07,0:03:51,0:37:16,0:03:02,0:04:27,0:00:25,0:04:28,0:02:49,0:00:30,0:05:19,0:04:36,0:00:39,0:04:56,0:04:30,0:00:25,0:04:54,0:04:30,0:00:25,0:04:49,0:01:59,0:00:48,0:04:46,0:04:07,0:00:39,0:05:02,0:06:09,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number131018,open,1:14:27,0:30:50,0:05:09,0:38:28,0:02:50,0:04:06,0:00:27,0:04:41,0:03:22,0:00:59,0:04:45,0:02:48,0:00:57,0:05:08,0:04:46,0:00:30,0:05:20,0:04:27,0:00:46,0:05:06,0:02:01,0:00:46,0:05:01,0:03:47,0:00:44,0:05:37,0:05:33,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number112011,open,1:14:40,0:29:18,0:05:28,0:39:54,0:03:18,0:03:59,0:00:35,0:04:47,0:02:36,0:00:37,0:04:55,0:03:24,0:00:50,0:05:10,0:04:48,0:00:51,0:05:26,0:04:30,0:00:40,0:05:13,0:01:54,0:00:58,0:05:15,0:03:42,0:00:57,0:05:50,0:04:25,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number120020,open,1:14:51,0:25:03,0:05:07,0:44:41,0:03:31,0:03:48,0:00:28,0:05:02,0:01:46,0:00:35,0:05:30,0:02:41,0:00:54,0:05:46,0:03:43,0:00:35,0:06:12,0:04:05,0:00:43,0:06:07,0:01:31,0:00:57,0:06:11,0:03:33,0:00:55,0:06:22,0:03:56,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number113017,open,1:15:29,0:31:16,0:03:50,0:40:23,0:03:16,0:04:16,0:00:27,0:04:44,0:02:55,0:00:32,0:05:06,0:04:49,0:00:36,0:05:10,0:03:26,0:00:26,0:05:30,0:04:17,0:00:26,0:05:23,0:02:05,0:00:43,0:05:28,0:03:40,0:00:40,0:05:46,0:05:48,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number113018,open,1:15:38,0:31:01,0:04:35,0:40:02,0:03:03,0:03:59,0:00:31,0:05:07,0:02:35,0:00:46,0:05:26,0:03:50,0:00:49,0:05:14,0:04:21,0:00:26,0:05:42,0:04:37,0:00:40,0:05:06,0:01:46,0:00:42,0:04:59,0:04:09,0:00:41,0:05:25,0:05:44,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,USA,Number114014,open,1:15:40,0:29:16,0:04:27,0:41:57,0:03:30,0:04:03,0:00:29,0:05:09,0:02:30,0:00:33,0:05:20,0:03:30,0:00:37,0:05:22,0:03:48,0:00:26,0:05:40,0:04:15,0:00:36,0:05:32,0:01:34,0:00:59,0:05:41,0:04:38,0:00:47,0:05:43,0:04:58,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number132001,open,1:16:22,0:35:08,0:05:26,0:35:48,0:03:15,0:04:27,0:00:33,0:04:19,0:03:01,0:00:39,0:04:29,0:04:14,0:00:50,0:04:37,0:05:40,0:00:36,0:04:49,0:04:40,0:01:00,0:04:38,0:02:07,0:00:55,0:04:44,0:05:02,0:00:53,0:04:57,0:05:57,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number124008,open,1:16:35,0:32:29,0:04:22,0:39:44,0:03:31,0:04:13,0:00:29,0:04:55,0:02:17,0:00:33,0:05:06,0:04:19,0:00:44,0:05:19,0:04:54,0:00:28,0:05:14,0:04:34,0:00:32,0:05:02,0:02:01,0:00:48,0:05:06,0:04:43,0:00:48,0:05:31,0:05:28,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number124001,open,1:16:53,0:34:18,0:05:07,0:37:28,0:03:09,0:04:29,0:00:30,0:04:40,0:03:08,0:00:40,0:04:50,0:04:22,0:00:42,0:04:50,0:04:56,0:00:33,0:04:52,0:04:43,0:00:42,0:04:57,0:02:30,0:01:02,0:04:57,0:05:09,0:00:58,0:05:13,0:05:01,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number112003,open,1:17:50,0:29:42,0:04:39,0:43:29,0:03:12,0:04:12,0:00:26,0:04:54,0:02:26,0:00:41,0:05:43,0:03:45,0:00:46,0:05:31,0:03:31,0:00:28,0:06:05,0:04:22,0:00:33,0:06:00,0:02:08,0:00:47,0:06:03,0:03:28,0:00:58,0:06:01,0:05:50,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number115001,open,1:17:55,0:30:44,0:04:25,0:42:46,0:03:25,0:04:28,0:00:27,0:04:53,0:02:59,0:00:32,0:05:38,0:03:29,0:00:43,0:05:28,0:03:49,0:00:28,0:06:01,0:04:21,0:00:36,0:05:32,0:01:37,0:00:51,0:05:45,0:04:39,0:00:48,0:06:04,0:05:22,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,GER,Number113026,open,1:17:58,0:29:25,0:05:52,0:42:41,0:03:13,0:04:08,0:00:31,0:05:09,0:02:49,0:00:53,0:05:58,0:04:35,0:00:48,0:05:38,0:04:00,0:00:29,0:05:53,0:04:30,0:01:06,0:05:30,0:01:32,0:00:54,0:05:35,0:03:33,0:01:11,0:05:45,0:04:18,0:00:00
JGDMS4JI465,S5 2023 Karlsruhe,male,LUX,Number131007,open,1:18:27,0:31:17,0:05:40,0:41:30,0:03:36,0:03:56,0:00:30,0:05:03,0:02:38,0:00:49,0:05:14,0:03:35,0:00:40,0:05:16,0:06:27,0:00:30,0:05:42,0:04:13,0:01:17,0:05:28,0:01:40,0:00:55,0:05:28,0:04:27,0:00:59,0:05:43,0:04:21,0:00:00
