event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI468,S5 2023 Köln,male,MLT,Number144025,open,1:00:40,0:25:34,0:03:19,0:31:47,0:02:55,0:04:10,0:00:38,0:04:11,0:02:37,0:00:04,0:04:17,0:03:17,0:00:25,0:04:19,0:02:36,0:00:19,0:04:22,0:04:16,0:00:36,0:04:18,0:01:35,0:00:45,0:04:11,0:03:25,0:00:32,0:03:14,0:03:38,0:00:00
JGDMS4JI468,S5 2023 Köln,male,GER,Number153031,open,1:02:31,0:25:56,0:04:18,0:32:17,0:02:40,0:04:03,0:00:41,0:04:04,0:02:22,0:00:28,0:04:21,0:02:59,0:00:28,0:04:27,0:03:52,0:00:31,0:04:28,0:04:16,0:00:44,0:04:28,0:01:46,0:00:44,0:04:19,0:02:58,0:00:42,0:03:30,0:03:40,0:00:00
JGDMS4JI468,S5 2023 Köln,male,GER,Number153028,open,1:03:40,0:24:58,0:04:12,0:34:30,0:03:03,0:04:01,0:00:42,0:04:25,0:02:54,0:00:08,0:04:33,0:03:04,0:00:28,0:04:27,0:02:49,0:00:29,0:04:40,0:04:17,0:00:46,0:04:40,0:01:26,0:00:53,0:04:44,0:03:10,0:00:46,0:03:58,0:03:17,0:00:00
JGDMS4JI468,S5 2023 Köln,male,GER,Number130022,open,1:03:59,0:26:36,0:03:50,0:33:33,0:02:54,0:04:05,0:00:38,0:04:20,0:02:26,0:00:07,0:04:33,0:03:06,0:00:30,0:04:28,0:03:13,0:00:21,0:04:32,0:04:17,0:00:42,0:04:30,0:01:36,0:00:52,0:04:32,0:03:50,0:00:40,0:03:44,0:04:03,0:00:00
JGDMS4JI468,S5 2023 Köln,male,GER,Number125023,open,1:04:11,0:26:55,0:04:06,0:33:10,0:03:07,0:04:09,0:00:43,0:04:21,0:02:03,0:00:07,0:04:23,0:03:05,0:00:26,0:04:22,0:03:55,0:00:28,0:04:31,0:04:11,0:00:45,0:04:24,0:01:34,0:00:54,0:04:28,0:03:28,0:00:43,0:03:34,0:04:30,0:00:00
JGDMS4JI468,S5 2023 Köln,male,GER,Number124025,open,1:05:00,0:26:49,0:03:38,0:34:33,0:03:12,0:03:53,0:00:41,0:04:27,0:02:12,0:00:04,0:04:35,0:03:22,0:00:25,0:04:40,0:04:31,0:00:21,0:04:42,0:04:05,0:00:41,0:04:41,0:01:48,0:00:48,0:04:36,0:02:40,0:00:38,0:03:40,0:04:18,0:00:00
JGDMS4JI468,S5 2023 Köln,male,GER,Number125010,open,1:05:14,0:27:09,0:03:52,0:34:13,0:02:57,0:03:55,0:00:40,0:04:16,0:02:13,0:00:04,0:04:33,0:02:44,0:00:25,0:04:31,0:04:35,0:00:22,0:04:53,0:04:30,0:00:48,0:04:48,0:01:59,0:00:53,0:04:36,0:03:40,0:00:40,0:03:39,0:03:33,0:00:00
JGDMS4JI468,S5 2023 Köln,male,GER,Number160002,open,1:05:37,0:27:52,0:04:33,0:33:12,0:02:57,0:04:23,0:00:39,0:04:19,0:02:41,0:00:07,0:04:34,0:03:21,0:00:33,0:04:21,0:03:45,0:00:28,0:04:29,0:04:11,0:00:45,0:04:29,0:01:30,0:01:04,0:04:24,0:04:07,0:00:57,0:03:39,0:03:54,0:00:00
JGDMS4JI468,S5 2023 Köln,male,GER,Number130019,open,1:06:11,0:24:20,0:04:11,0:37:40,0:03:22,0:03:47,0:00:46,0:04:55,0:01:53,0:00:06,0:05:09,0:02:52,0:00:32,0:05:12,0:02:47,0:00:29,0:05:09,0:04:11,0:00:46,0:04:59,0:01:28,0:00:52,0:04:54,0:03:17,0:00:40,0:04:00,0:04:05,0:00:00
JGDMS4JI468,S5 2023 Köln,male,GER,Number155026,open,1:06:49,0:28:38,0:04:26,0:33:45,0:03:07,0:04:08,0:00:44,0:04:26,0:02:22,0:00:06,0:04:42,0:03:57,0:00:30,0:04:29,0:04:05,0:00:23,0:04:30,0:04:14,0:00:55,0:04:35,0:01:48,0:01:04,0:04:31,0:03:26,0:00:44,0:03:25,0:04:38,0:00:00
