event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI47A,S5 2023 London,male,GBR,Number121025,open,1:00:27,0:24:01,0:03:14,0:33:12,0:03:48,0:03:50,0:00:30,0:03:58,0:01:59,0:00:30,0:04:19,0:03:00,0:00:32,0:04:14,0:02:58,0:00:15,0:04:22,0:03:59,0:00:25,0:04:03,0:01:44,0:00:25,0:04:11,0:02:57,0:00:37,0:04:17,0:03:34,0:00:00
JGDMS4JI47A,S5 2023 London,male,GBR,Number121005,open,1:01:35,0:25:06,0:03:13,0:33:16,0:03:48,0:03:51,0:00:28,0:03:59,0:01:57,0:00:27,0:04:08,0:03:16,0:00:32,0:04:16,0:02:50,0:00:20,0:04:19,0:04:00,0:00:25,0:04:05,0:01:47,0:00:24,0:04:07,0:03:29,0:00:37,0:04:34,0:03:56,0:00:00
JGDMS4JI47A,S5 2023 London,male,ENG,Number160042,open,1:02:59,0:25:29,0:03:15,0:34:15,0:03:57,0:04:05,0:00:33,0:04:03,0:02:28,0:00:29,0:04:18,0:03:18,0:00:31,0:04:19,0:02:59,0:00:14,0:04:20,0:04:11,0:00:24,0:04:18,0:01:56,0:00:26,0:04:24,0:03:06,0:00:38,0:04:36,0:03:26,0:00:00
JGDMS4JI47A,S5 2023 London,male,GBR,Number123035,open,1:04:13,0:28:29,0:04:14,0:31:30,0:03:41,0:03:46,0:00:29,0:03:42,0:02:45,0:00:31,0:03:48,0:03:14,0:00:34,0:03:55,0:03:51,0:00:38,0:04:03,0:04:04,0:00:36,0:03:59,0:02:07,0:00:37,0:03:59,0:04:03,0:00:49,0:04:23,0:04:39,0:00:00
JGDMS4JI47A,S5 2023 London,male,GBR,Number124033,open,1:04:30,0:27:43,0:03:38,0:33:09,0:04:00,0:04:02,0:00:32,0:03:53,0:02:24,0:00:28,0:04:05,0:03:54,0:00:31,0:04:06,0:03:40,0:00:15,0:04:13,0:04:08,0:00:28,0:04:12,0:01:35,0:00:34,0:04:11,0:03:39,0:00:50,0:04:29,0:04:21,0:00:00
JGDMS4JI47A,S5 2023 London,male,GBR,Number122034,open,1:04:33,0:25:09,0:03:44,0:35:40,0:03:50,0:03:43,0:00:34,0:04:15,0:02:06,0:00:33,0:04:30,0:02:36,0:00:35,0:04:32,0:04:02,0:00:17,0:04:45,0:03:58,0:00:29,0:04:30,0:01:35,0:00:35,0:04:20,0:03:08,0:00:41,0:04:58,0:04:01,0:00:00
JGDMS4JI47A,S5 2023 London,male,GBR,Number124002,open,1:04:51,0:25:50,0:03:35,0:35:26,0:04:07,0:04:11,0:00:35,0:04:11,0:01:59,0:00:32,0:04:28,0:03:11,0:00:34,0:04:25,0:02:35,0:00:19,0:04:32,0:04:16,0:00:28,0:04:24,0:01:32,0:00:26,0:04:33,0:03:55,0:00:41,0:04:46,0:04:11,0:00:00
JGDMS4JI47A,S5 2023 London,male,GBR,Number121010,open,1:05:09,0:25:35,0:04:00,0:35:34,0:03:57,0:04:00,0:00:33,0:04:06,0:02:04,0:00:33,0:04:38,0:03:27,0:00:32,0:04:22,0:03:12,0:00:24,0:04:40,0:04:26,0:00:27,0:04:36,0:01:48,0:00:42,0:04:28,0:02:56,0:00:49,0:04:47,0:03:42,0:00:00
JGDMS4JI47A,S5 2023 London,male,GBR,Number122030,open,1:05:38,0:27:07,0:04:21,0:34:10,0:03:58,0:04:08,0:00:36,0:04:01,0:02:45,0:00:34,0:04:09,0:02:49,0:00:44,0:04:15,0:04:00,0:00:31,0:04:22,0:04:12,0:00:33,0:04:22,0:01:48,0:00:32,0:04:16,0:03:13,0:00:51,0:04:47,0:04:12,0:00:00
JGDMS4JI47A,S5 2023 London,male,GBR,Number124041,open,1:06:08,0:24:40,0:03:30,0:37:58,0:04:19,0:04:04,0:00:35,0:04:20,0:02:32,0:00:30,0:04:43,0:03:12,0:00:32,0:04:40,0:02:19,0:00:15,0:04:51,0:04:08,0:00:27,0:04:54,0:01:42,0:00:31,0:04:51,0:02:46,0:00:40,0:05:20,0:03:57,0:00:00
