event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI474,S5 2023 Miami,male,GER,Number114009,open,1:14:22,0:30:24,0:02:24,0:41:34,0:03:34,0:04:01,0:00:18,0:04:48,0:03:48,0:00:17,0:05:19,0:03:15,0:00:34,0:05:17,0:02:50,0:00:20,0:05:32,0:04:24,0:00:25,0:05:36,0:03:09,0:00:06,0:05:37,0:03:40,0:00:24,0:05:51,0:05:17,0:00:00
JGDMS4JI474,S5 2023 Miami,male,GER,Number112001,open,1:22:04,0:35:46,0:04:07,0:42:11,0:03:25,0:03:58,0:00:16,0:04:47,0:04:01,0:00:24,0:05:06,0:05:04,0:00:34,0:05:11,0:04:13,0:00:34,0:05:34,0:04:35,0:00:40,0:05:46,0:03:06,0:00:23,0:06:00,0:03:55,0:01:16,0:06:22,0:06:54,0:00:00
JGDMS4JI474,S5 2023 Miami,male,ITA,Number114003,open,1:26:44,0:33:39,0:02:47,0:50:18,0:03:52,0:04:22,0:00:19,0:05:46,0:03:30,0:00:21,0:06:30,0:04:05,0:00:39,0:06:18,0:04:26,0:00:18,0:06:39,0:04:45,0:00:25,0:06:29,0:03:04,0:00:08,0:06:48,0:04:19,0:00:37,0:07:56,0:05:08,0:00:00
JGDMS4JI474,S5 2023 Miami,male,USA,Number114004,open,1:30:03,0:38:46,0:03:50,0:47:27,0:03:36,0:04:39,0:00:17,0:05:04,0:03:45,0:00:41,0:06:01,0:04:59,0:00:36,0:05:55,0:05:17,0:00:35,0:06:29,0:05:21,0:00:33,0:06:24,0:02:40,0:00:18,0:06:45,0:04:52,0:00:50,0:07:13,0:07:13,0:00:00
JGDMS4JI474,S5 2023 Miami,male,GBR,Number114002,open,1:34:09,0:41:42,0:02:51,0:49:36,0:03:53,0:04:33,0:00:17,0:05:46,0:04:53,0:00:21,0:06:13,0:06:02,0:00:37,0:06:16,0:05:38,0:00:25,0:06:42,0:04:55,0:00:28,0:06:32,0:03:13,0:00:09,0:06:42,0:04:21,0:00:34,0:07:32,0:08:07,0:00:00
JGDMS4JI474,S5 2023 Miami,male,USA,Number105013,open,1:35:41,0:40:07,0:02:57,0:52:37,0:04:05,0:04:14,0:00:18,0:06:13,0:05:20,0:00:20,0:06:33,0:05:40,0:00:40,0:06:50,0:05:29,0:00:23,0:07:16,0:04:36,0:00:34,0:06:55,0:03:15,0:00:11,0:07:04,0:05:38,0:00:31,0:07:41,0:05:55,0:00:00
JGDMS4JI474,S5 2023 Miami,male,USA,Number112013,open,1:36:50,0:40:40,0:02:57,0:53:13,0:03:47,0:04:49,0:00:18,0:05:34,0:07:23,0:00:31,0:06:31,0:05:22,0:00:28,0:06:52,0:04:05,0:00:22,0:08:38,0:05:39,0:00:25,0:06:52,0:02:34,0:00:15,0:07:12,0:05:08,0:00:38,0:07:47,0:05:40,0:00:00
JGDMS4JI474,S5 2023 Miami,male,USA,Number112009,open,1:37:02,0:35:11,0:06:08,0:55:43,0:04:40,0:04:34,0:00:23,0:06:49,0:03:28,0:00:44,0:07:31,0:05:32,0:01:04,0:07:22,0:04:20,0:01:10,0:07:13,0:04:25,0:00:59,0:07:08,0:03:09,0:00:19,0:07:11,0:03:28,0:01:29,0:07:49,0:06:15,0:00:00
JGDMS4JI474,S5 2023 Miami,male,USA,Number105002,open,1:38:32,0:40:26,0:03:07,0:54:59,0:05:29,0:04:11,0:00:18,0:05:39,0:03:12,0:00:24,0:06:30,0:06:12,0:00:40,0:06:47,0:05:20,0:00:25,0:07:17,0:04:31,0:00:34,0:07:20,0:03:37,0:00:13,0:07:27,0:04:38,0:00:33,0:08:30,0:08:45,0:00:00
JGDMS4JI474,S5 2023 Miami,male,USA,Number115010,open,1:38:59,0:36:22,0:05:43,0:56:54,0:03:42,0:04:23,0:00:21,0:05:51,0:03:57,0:00:56,0:08:13,0:04:55,0:00:59,0:07:09,0:05:18,0:00:48,0:08:45,0:04:45,0:00:45,0:06:49,0:03:06,0:00:28,0:07:35,0:04:00,0:01:26,0:08:50,0:05:58,0:00:00
