event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI464,S5 2023 München,male,IRL,Number123010,open,1:04:42,0:26:05,0:03:39,0:34:58,0:03:40,0:03:52,0:00:05,0:04:05,0:01:56,0:00:32,0:04:20,0:03:13,0:00:40,0:04:29,0:03:57,0:00:34,0:04:28,0:04:07,0:00:34,0:04:26,0:01:50,0:00:37,0:04:28,0:03:11,0:00:37,0:05:02,0:03:59,0:00:00
JGDMS4JI464,S5 2023 München,male,GBR,Number142021,open,1:05:38,0:27:51,0:03:19,0:34:28,0:03:18,0:04:01,0:00:03,0:04:01,0:02:09,0:00:32,0:04:40,0:04:20,0:00:36,0:04:23,0:03:34,0:00:32,0:04:24,0:04:10,0:00:31,0:04:28,0:01:48,0:00:34,0:04:28,0:03:53,0:00:31,0:04:46,0:03:56,0:00:00
JGDMS4JI464,S5 2023 München,male,SLO,Number124015,open,1:05:54,0:27:18,0:04:02,0:34:34,0:03:39,0:04:06,0:00:06,0:04:05,0:02:02,0:00:33,0:04:19,0:03:24,0:00:42,0:04:20,0:03:23,0:00:48,0:04:34,0:04:22,0:00:34,0:04:23,0:01:52,0:00:39,0:04:19,0:03:57,0:00:40,0:04:55,0:04:12,0:00:00
JGDMS4JI464,S5 2023 München,male,GER,Number145004,open,1:07:09,0:30:25,0:03:18,0:33:26,0:03:58,0:04:12,0:00:06,0:04:05,0:02:34,0:00:25,0:04:09,0:03:56,0:00:30,0:04:14,0:03:41,0:00:29,0:04:11,0:04:21,0:00:28,0:04:06,0:01:52,0:00:38,0:04:08,0:03:57,0:00:42,0:04:35,0:05:52,0:00:00
JGDMS4JI464,S5 2023 München,male,GER,Number135024,open,1:07:31,0:27:47,0:03:42,0:36:02,0:03:50,0:04:13,0:00:07,0:04:12,0:02:08,0:00:28,0:04:30,0:03:35,0:00:30,0:04:38,0:03:41,0:00:56,0:04:42,0:04:22,0:00:34,0:04:37,0:01:47,0:00:33,0:04:34,0:03:10,0:00:34,0:04:59,0:04:51,0:00:00
JGDMS4JI464,S5 2023 München,male,GBR,Number133028,open,1:08:00,0:28:06,0:03:43,0:36:11,0:03:49,0:03:54,0:00:05,0:04:11,0:02:03,0:00:28,0:04:37,0:02:56,0:00:37,0:04:40,0:04:08,0:00:45,0:04:45,0:04:19,0:00:31,0:04:38,0:01:35,0:00:44,0:04:40,0:04:05,0:00:33,0:04:51,0:05:06,0:00:00
JGDMS4JI464,S5 2023 München,male,ESP,Number124014,open,1:09:04,0:29:19,0:03:29,0:36:16,0:04:06,0:04:19,0:00:04,0:04:24,0:02:16,0:00:26,0:04:35,0:03:24,0:00:39,0:04:46,0:04:47,0:00:39,0:04:24,0:04:20,0:00:36,0:04:25,0:01:58,0:00:31,0:04:30,0:04:09,0:00:34,0:05:06,0:04:06,0:00:00
JGDMS4JI464,S5 2023 München,male,GBR,Number124010,open,1:09:10,0:31:51,0:03:33,0:33:46,0:03:41,0:04:25,0:00:04,0:03:52,0:02:20,0:00:31,0:04:21,0:04:30,0:00:37,0:04:22,0:04:21,0:00:37,0:04:12,0:04:44,0:00:26,0:04:12,0:02:02,0:00:37,0:04:22,0:04:34,0:00:41,0:04:44,0:04:55,0:00:00
JGDMS4JI464,S5 2023 München,male,SLO,Number145019,open,1:09:15,0:30:54,0:04:04,0:34:17,0:04:00,0:04:10,0:00:09,0:04:16,0:02:16,0:00:35,0:04:31,0:04:07,0:00:40,0:04:25,0:03:48,0:00:36,0:04:14,0:04:18,0:00:38,0:04:08,0:02:27,0:00:49,0:04:11,0:04:21,0:00:37,0:04:32,0:05:27,0:00:00
JGDMS4JI464,S5 2023 München,male,POL,Number123029,open,1:09:26,0:29:01,0:03:21,0:37:04,0:04:00,0:04:08,0:00:04,0:04:34,0:02:16,0:00:28,0:04:41,0:03:38,0:00:36,0:04:41,0:04:43,0:00:30,0:04:55,0:04:03,0:00:35,0:04:38,0:01:38,0:00:35,0:04:38,0:03:33,0:00:33,0:04:57,0:05:02,0:00:00
