event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number112004,open,1:01:54,0:24:27,0:03:47,0:33:40,0:03:24,0:03:56,0:00:08,0:03:48,0:01:42,0:00:39,0:04:20,0:03:09,0:00:27,0:04:10,0:03:31,0:00:39,0:04:18,0:03:57,0:00:32,0:04:14,0:01:19,0:00:46,0:04:30,0:03:09,0:00:36,0:04:56,0:03:44,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number113006,open,1:02:31,0:25:40,0:04:09,0:32:42,0:03:32,0:03:18,0:00:47,0:03:53,0:02:09,0:00:31,0:04:03,0:03:05,0:00:27,0:04:04,0:02:52,0:00:34,0:04:07,0:04:14,0:00:33,0:04:09,0:01:35,0:00:38,0:04:12,0:03:37,0:00:39,0:04:42,0:04:50,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number113011,open,1:05:11,0:26:48,0:03:57,0:34:26,0:03:37,0:03:57,0:00:09,0:04:04,0:02:23,0:00:37,0:04:31,0:02:59,0:00:31,0:04:23,0:03:40,0:00:40,0:04:22,0:04:04,0:00:38,0:04:21,0:01:39,0:00:42,0:04:21,0:03:54,0:00:40,0:04:47,0:04:12,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number114012,open,1:05:48,0:27:53,0:04:04,0:33:51,0:03:41,0:04:13,0:00:09,0:04:05,0:02:07,0:00:36,0:04:16,0:03:05,0:00:31,0:04:20,0:03:59,0:00:40,0:04:17,0:04:17,0:00:40,0:04:16,0:01:36,0:00:46,0:04:20,0:03:40,0:00:42,0:04:36,0:04:56,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number113004,open,1:05:56,0:28:29,0:04:27,0:33:00,0:03:45,0:04:25,0:00:09,0:04:00,0:02:00,0:00:39,0:04:05,0:03:46,0:00:32,0:04:06,0:03:49,0:00:53,0:04:12,0:04:26,0:00:42,0:04:03,0:01:43,0:00:47,0:04:06,0:03:55,0:00:45,0:04:43,0:04:25,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number131004,open,1:05:59,0:27:02,0:04:02,0:34:55,0:04:40,0:03:28,0:00:12,0:04:14,0:02:13,0:00:36,0:04:15,0:02:40,0:00:32,0:04:16,0:03:41,0:00:43,0:04:19,0:04:17,0:00:38,0:04:15,0:01:46,0:00:42,0:04:15,0:03:46,0:00:39,0:04:41,0:05:11,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number113012,open,1:06:50,0:28:14,0:04:54,0:33:42,0:03:33,0:04:05,0:00:09,0:03:55,0:02:31,0:00:35,0:04:11,0:03:07,0:00:37,0:04:24,0:03:43,0:00:57,0:04:16,0:04:04,0:01:01,0:04:22,0:01:43,0:00:47,0:04:18,0:03:55,0:00:48,0:04:43,0:05:06,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number123008,open,1:07:25,0:24:36,0:04:56,0:37:53,0:04:10,0:04:04,0:00:22,0:04:34,0:01:30,0:00:39,0:04:48,0:03:16,0:00:34,0:04:39,0:02:57,0:00:50,0:04:50,0:03:57,0:00:50,0:04:47,0:01:35,0:00:45,0:04:39,0:02:54,0:00:56,0:05:26,0:04:23,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number124016,open,1:08:10,0:29:27,0:04:39,0:34:04,0:03:42,0:03:52,0:00:14,0:04:06,0:02:28,0:00:44,0:04:28,0:03:17,0:00:34,0:04:12,0:03:38,0:00:48,0:04:14,0:04:14,0:00:41,0:04:09,0:01:53,0:00:50,0:04:13,0:04:03,0:00:48,0:05:00,0:06:02,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number112021,open,1:08:26,0:27:21,0:04:37,0:36:28,0:03:52,0:04:09,0:00:09,0:04:19,0:02:04,0:00:48,0:04:38,0:03:41,0:00:31,0:04:46,0:03:31,0:00:48,0:04:40,0:04:01,0:00:58,0:04:38,0:01:49,0:00:43,0:04:39,0:03:26,0:00:40,0:04:56,0:04:40,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number114020,open,1:09:15,0:28:32,0:04:42,0:36:01,0:04:07,0:04:16,0:00:10,0:04:23,0:02:22,0:00:42,0:04:33,0:03:47,0:00:32,0:04:38,0:04:33,0:00:43,0:04:34,0:03:47,0:01:06,0:04:33,0:01:47,0:00:44,0:04:25,0:03:15,0:00:45,0:04:48,0:04:45,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number112015,open,1:09:43,0:26:50,0:04:39,0:38:14,0:04:09,0:04:28,0:00:10,0:04:33,0:01:59,0:00:37,0:04:51,0:03:14,0:00:36,0:04:56,0:03:39,0:00:47,0:04:50,0:04:14,0:00:51,0:04:46,0:01:44,0:00:51,0:04:49,0:03:02,0:00:47,0:05:20,0:04:30,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number113024,open,1:10:23,0:29:16,0:05:17,0:35:50,0:03:40,0:04:24,0:00:10,0:04:03,0:02:07,0:00:46,0:04:54,0:03:53,0:00:36,0:04:35,0:04:16,0:01:15,0:04:37,0:04:39,0:00:46,0:04:41,0:02:14,0:00:50,0:04:22,0:03:52,0:00:54,0:04:58,0:03:51,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GBR,Number124020,open,1:10:48,0:28:32,0:04:11,0:38:05,0:04:27,0:04:22,0:00:09,0:04:34,0:02:24,0:00:38,0:04:41,0:03:13,0:00:31,0:04:41,0:02:54,0:00:44,0:04:42,0:04:29,0:00:41,0:04:43,0:01:58,0:00:44,0:04:48,0:03:35,0:00:44,0:05:29,0:05:37,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number131030,open,1:11:51,0:30:57,0:04:32,0:36:22,0:08:20,0:04:03,0:00:17,0:03:48,0:02:27,0:00:39,0:03:54,0:03:36,0:00:36,0:03:55,0:04:06,0:00:45,0:03:59,0:04:32,0:00:38,0:03:57,0:01:53,0:00:51,0:04:00,0:03:41,0:00:46,0:04:29,0:06:39,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number113002,open,1:12:06,0:30:07,0:04:11,0:37:48,0:04:19,0:04:34,0:00:10,0:04:37,0:02:24,0:00:38,0:04:40,0:03:45,0:00:30,0:04:41,0:04:06,0:00:38,0:04:42,0:04:28,0:00:41,0:04:46,0:01:31,0:00:48,0:04:50,0:03:56,0:00:46,0:05:13,0:05:23,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number130019,open,1:12:24,0:32:29,0:04:26,0:35:29,0:03:43,0:04:30,0:00:09,0:04:02,0:02:27,0:00:38,0:04:22,0:03:38,0:00:37,0:04:35,0:04:46,0:00:45,0:04:36,0:04:35,0:00:39,0:04:33,0:01:49,0:00:49,0:04:34,0:04:43,0:00:49,0:05:04,0:06:01,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,SUI,Number124019,open,1:13:13,0:32:39,0:04:15,0:36:19,0:04:04,0:04:57,0:00:13,0:04:48,0:03:25,0:00:39,0:04:29,0:04:22,0:00:31,0:04:29,0:03:20,0:00:38,0:04:28,0:04:29,0:00:43,0:04:33,0:01:44,0:00:45,0:04:31,0:04:15,0:00:46,0:04:57,0:06:07,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number114014,open,1:13:31,0:30:02,0:04:57,0:38:32,0:04:01,0:04:20,0:00:09,0:04:38,0:02:07,0:00:44,0:04:53,0:03:23,0:00:40,0:04:55,0:04:52,0:00:50,0:04:57,0:04:27,0:00:44,0:04:51,0:01:43,0:00:58,0:04:54,0:04:22,0:00:52,0:05:23,0:04:48,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number131029,open,1:13:41,0:31:46,0:04:30,0:37:25,0:04:05,0:04:29,0:00:10,0:04:23,0:02:32,0:00:41,0:04:38,0:03:36,0:00:33,0:04:44,0:05:04,0:00:49,0:04:46,0:04:31,0:00:44,0:04:46,0:01:36,0:00:45,0:04:47,0:05:07,0:00:48,0:05:16,0:04:51,0:00:00
JGDMS4JI44D,S5 2023 Stuttgart,male,GER,Number112014,open,1:13:46,0:33:07,0:04:56,0:35:43,0:03:40,0:04:35,0:00:14,0:04:17,0:03:38,0:00:47,0:04:29,0:03:54,0:00:42,0:04:38,0:05:39,0:00:48,0:04:37,0:04:25,0:00:43,0:04:34,0:02:03,0:00:52,0:04:31,0:04:00,0:00:50,0:04:57,0:04:53,0:00:00
