event_id,event_name,gender,nationality,age_group,division,total_time,work_time,roxzone_time,run_time,run_1,work_1,roxzone_1,run_2,work_2,roxzone_2,run_3,work_3,roxzone_3,run_4,work_4,roxzone_4,run_5,work_5,roxzone_5,run_6,work_6,roxzone_6,run_7,work_7,roxzone_7,run_8,work_8,roxzone_8
JGDMS4JI461,S5 2023 Wien,male,CZE,Number112023,open,0:59:39,0:25:41,0:03:07,0:30:51,0:03:44,0:04:15,0:00:23,0:03:49,0:01:40,0:00:15,0:04:00,0:03:24,0:00:21,0:03:55,0:03:35,0:00:35,0:03:54,0:04:16,0:00:17,0:03:48,0:01:27,0:00:35,0:03:45,0:02:43,0:00:41,0:03:56,0:04:21,0:00:00
JGDMS4JI461,S5 2023 Wien,male,GER,Number110020,open,1:03:09,0:28:38,0:03:54,0:30:37,0:03:37,0:04:05,0:00:24,0:03:40,0:02:15,0:00:15,0:04:10,0:04:01,0:00:24,0:03:52,0:04:45,0:00:37,0:03:49,0:04:13,0:00:26,0:03:49,0:01:39,0:00:53,0:03:44,0:03:18,0:00:55,0:03:56,0:04:22,0:00:00
JGDMS4JI461,S5 2023 Wien,male,GBR,Number113023,open,1:05:49,0:28:33,0:03:12,0:34:04,0:03:54,0:04:14,0:00:25,0:04:09,0:02:03,0:00:16,0:04:17,0:04:10,0:00:19,0:04:17,0:03:42,0:00:25,0:04:19,0:04:21,0:00:21,0:04:18,0:01:30,0:00:40,0:04:22,0:03:28,0:00:46,0:04:28,0:05:05,0:00:00
JGDMS4JI461,S5 2023 Wien,male,GER,Number122015,open,1:06:16,0:28:37,0:03:27,0:34:12,0:03:56,0:04:11,0:00:26,0:04:02,0:02:27,0:00:14,0:04:19,0:03:53,0:00:19,0:04:16,0:04:02,0:00:30,0:04:30,0:04:14,0:00:26,0:04:19,0:01:59,0:00:41,0:04:20,0:03:51,0:00:51,0:04:30,0:04:00,0:00:00
JGDMS4JI461,S5 2023 Wien,male,AUT,Number111028,open,1:06:23,0:29:31,0:03:32,0:33:20,0:03:36,0:04:14,0:00:29,0:04:01,0:02:07,0:00:19,0:04:25,0:04:22,0:00:24,0:04:23,0:03:54,0:00:33,0:04:14,0:04:30,0:00:21,0:04:03,0:01:31,0:00:42,0:04:12,0:03:33,0:00:44,0:04:26,0:05:20,0:00:00
JGDMS4JI461,S5 2023 Wien,male,AUT,Number120006,open,1:06:54,0:27:56,0:04:06,0:34:52,0:03:48,0:03:51,0:00:26,0:04:11,0:01:49,0:00:17,0:04:40,0:03:36,0:00:26,0:04:36,0:04:23,0:00:50,0:04:32,0:04:33,0:00:22,0:04:22,0:01:41,0:00:53,0:04:14,0:04:00,0:00:52,0:04:29,0:04:03,0:00:00
JGDMS4JI461,S5 2023 Wien,male,GER,Number111024,open,1:07:37,0:32:52,0:03:40,0:31:05,0:03:38,0:04:25,0:00:22,0:03:47,0:02:25,0:00:15,0:04:04,0:04:20,0:00:29,0:03:46,0:04:18,0:00:27,0:04:05,0:04:44,0:00:21,0:03:50,0:02:00,0:00:48,0:03:50,0:03:58,0:00:58,0:04:05,0:06:42,0:00:00
JGDMS4JI461,S5 2023 Wien,male,CZE,Number124019,open,1:08:27,0:30:12,0:05:14,0:33:01,0:03:34,0:03:59,0:00:26,0:03:55,0:01:56,0:00:18,0:04:14,0:04:58,0:01:40,0:04:11,0:03:47,0:00:28,0:04:18,0:04:12,0:00:32,0:04:16,0:01:30,0:00:49,0:04:08,0:03:44,0:01:01,0:04:25,0:06:06,0:00:00
JGDMS4JI461,S5 2023 Wien,male,GER,Number111005,open,1:09:01,0:27:55,0:04:52,0:36:14,0:04:07,0:04:08,0:00:30,0:04:27,0:02:09,0:00:29,0:04:34,0:03:14,0:00:31,0:04:42,0:03:34,0:00:51,0:04:40,0:04:22,0:00:27,0:04:29,0:01:41,0:01:04,0:04:30,0:04:05,0:01:00,0:04:45,0:04:42,0:00:00
JGDMS4JI461,S5 2023 Wien,male,GER,Number110017,open,1:09:25,0:34:20,0:03:58,0:31:07,0:03:11,0:04:11,0:00:29,0:03:43,0:02:05,0:00:25,0:04:09,0:04:14,0:00:22,0:03:59,0:04:42,0:00:31,0:03:59,0:04:20,0:00:23,0:03:58,0:01:57,0:00:49,0:03:57,0:04:58,0:00:59,0:04:11,0:07:53,0:00:00
